reg,frm,to,kind,name,act,src,clip,comment
VOLOGDA_1471,1471-08-11,1500-01-01,территория,"Вологда, Заозерье, Важская земля, Волок Ламский",Коростынский договор 11.08.1471 после разгрома новгородского войска на Шелони 14.07.1471: Новгород признал себя «отчиной» московского великого князя и уступил ему эти волости,"Грамоты Великого Новгорода и Пскова (М.-Л., 1949), Коростынский договор; ПСРЛ т. 25; Атлас російського імперіалізму і колоніалізму (УІФ, 2026), розд. 5, п. 4-7; ПОЛЕ `to`=01.01.1500 не значит утраты: с 1500 года эта земля лежит внутри самого контура источника, и наложение снимается - иначе современная нарезка прирастала бы к срезам 1500 и 1530 годов шведской стороной Карельского перешейка (7,7 град²)",1492,
NOVGOROD_LAND,1478-01-15,1500-01-01,территория,Новгородская земля,"капитуляция Новгорода 15.01.1478 в третьей войне (сентябрь 1477 - январь 1478): вече упразднено, все владения республики отошли Москве","ПСРЛ т. 25 (Московский летописный свод); ПСРЛ т. 4 (Новгородские летописи); Атлас російського імперіалізму і колоніалізму (УІФ, 2026), розд. 4-5 - «завоювання Новгорода у 1451-1478 рр. - перший беззаперечний акт імперіалізму»; ПОЛЕ `to`=01.01.1500 не значит утраты: с 1500 года эта земля лежит внутри самого контура источника, и наложение снимается - иначе современная нарезка прирастала бы к срезам 1500 и 1530 годов шведской стороной Карельского перешейка (7,7 град²)",1492,
SOLOVKI,1478-01-15,,территория,Соловецкие острова,"капитуляция Новгорода 15.01.1478: все владения республики отошли Москве, с ними Соловецкий монастырь на островах Белого моря","ПСРЛ т. 25; ПСРЛ т. 4 - как у Новгородской земли. Отдельной строкой потому, что Новгородская земля обрезана контуром 1492 г., где островов нет, и на карте они краснели только с 1918 г. (MAP-MATERIALS/BACKLOG_KARTY.md, Б6)",,
TVER_LAND,1485-09-12,1500-01-01,территория,Великое княжество Тверское,"сдача Твери 12.09.1485, князь Михаил Борисович бежал в Литву","ПСРЛ т. 25; Атлас російського імперіалізму і колоніалізму (УІФ, 2026), розд. 5, п. 18; ПОЛЕ `to`=01.01.1500 не значит утраты: с 1500 года эта земля лежит внутри самого контура источника, и наложение снимается - иначе современная нарезка прирастала бы к срезам 1500 и 1530 годов шведской стороной Карельского перешейка (7,7 град²)",1492,
VYATKA_LAND,1489-08-16,1500-01-01,территория,Вятская земля (Хлынов),"взятие Хлынова 16.08.1489, республиканское устройство ликвидировано, верхушка выведена в центральные уезды в 1490 г.","ПСРЛ т. 25; Атлас російського імперіалізму і колоніалізму (УІФ, 2026), розд. 5, п. 19; ПОЛЕ `to`=01.01.1500 не значит утраты: с 1500 года эта земля лежит внутри самого контура источника, и наложение снимается - иначе современная нарезка прирастала бы к срезам 1500 и 1530 годов шведской стороной Карельского перешейка (7,7 град²)",1492,
PSKOV_LAND,1510-01-13,,территория,Псковская земля,"упразднение Псковской республики 13.01.1510: вечевой колокол снят, 300 семей выведены в московские уезды","ПСРЛ т. 5 (Псковские летописи); геометрия - контур Пскова из файла источника 1500 г., не приближение",,
RYAZAN_LAND,1521-06-01,,территория,Великое княжество Рязанское,"присоединение Рязани 1521 (месяц условный): князь Иван Иванович бежал в Литву, княжество обращено в уезд","ПСРЛ т. 8; ПСРЛ т. 13; геометрия - контур Рязани из файла источника 1500 г., не приближение",,
SEVERSK_1503,1503-03-25,,территория,"Северщина: Брянск, Стародуб, Новгород-Северский, Чернигов, Путивль, Рыльск",Благовещенское перемирие 25.03.1503 на шесть лет по итогам войны 1500-1503 гг. (битва на Ведроши 14.07.1500): Литва уступила Москве северские и черниговские земли,"Сборник Русского исторического общества т. 35 (посольские книги по связям с Великим княжеством Литовским); ПСРЛ т. 8; Атлас російського імперіалізму і колоніалізму (УІФ, 2026), розд. 6 - «253 000 км²». Приближено Брянской, Черниговской и Сумской областями (~91 тыс. км²) - это МЕНЬШЕ атласной цифры: Рыльск с Курским Посемьем, Вязьма (1494) и Дорогобуж в выборку не вошли",,
SMOLENSK_LAND,1514-07-31,,территория,Смоленск и Смоленская земля,капитуляция смоленского гарнизона 31.07.1514 после третьей осады; 01.08.1514 Василий III въехал в город,"ПСРЛ т. 8; ПСРЛ т. 13; Атлас УІФ, розд. 7. Приближено современной Смоленской областью",,
INGRIA_KORELA,1600-01-01,1617-02-27,территория,Ижорская земля и Корельский уезд,"возвращены Тявзинским «вечным миром» со Швецией 18.05.1595 (Ивангород, Ям, Копорье, Корела; утрачены по Плюсскому перемирию 1583 г.). НА КАРТЕ ПОКАЗАНЫ СО СРЕЗА 1600 ГОДА, а не с 18.05.1595: своего среза на 1595 у источника нет, а базой пришлось бы ставить контур 1530 года - он не знает ни Смоленска, ни Сибири","текст Тявзинского договора 1595 г.; ПСРЛ т. 14; Атлас УІФ, розд. 12 и 17. Контур источника на 1600 г. рисует Ивангород, Корелу и Орешек ВНЕ империи - это картина 1583-1595 и 1617+ годов, для 1600 года неверная. Ижора отрезана рамкой южнее 60.2° с. ш., Корела - восточнее 29.5° в. д., чтобы шведский Выборг не попал в контур. ПОЛЕ `to`=27.02.1617 - это УТРАТА: по Столбовскому миру 27.02.1617 Швеции отошли Ижорская земля (Ивангород, Ям, Копорье, Орешек) и Корельский уезд, империя потеряла выход к Балтике - по атласу УІФ (розд. 20) больше 82 000 км². Вернулись по Ништадтскому миру 30.08.1721",,
VOLGA_KAZAN,1552-10-02,,территория,Казанское ханство,взятие Казани 02.10.1552,ПСРЛ т. 13 (Никоновская летопись),1600,
VOLGA_LOWER,1556-08-01,,территория,Астраханское ханство и Волжский путь,взятие Астрахани 1556 (месяц условный),ПСРЛ т. 13; Зайцев И.В. Астраханское ханство,1600,
BASHKIRIA,1556-08-01,,территория,Башкирские земли,принятие башкирами подданства 1554-1557 (дата условная),Материалы по истории Башкирской АССР т. 1,1600,
SIB_WEST,1587-06-01,,территория,Сибирское ханство,основание Тобольска 1587 после похода Ермака (месяц условный),Сибирские летописи; Миллер Г.Ф. История Сибири,1600,
SIB_LENA,1632-09-25,,территория,Ленский край и Восточная Сибирь,Якутский острог 25.09.1632,Миллер Г.Ф. История Сибири; ДАИ т. 2,1650,
OKHOTSK,1647-06-01,,территория,Охотское побережье,Косой острожек (Охотск) 1647 (месяц условный),Миллер Г.Ф. История Сибири; отписки С. Шелковникова,1650,
AZOV,1696-07-29,1711-07-12,территория,Азов и устье Дона,взятие Азова 19(29).07.1696 во втором Азовском походе; возвращён Порте по Прутскому договору 12.07.1711 («отдать назадъ... разорить»),"ПСЗРИ т. IV (Прутский договор 1711); литература по взятию 1696. Разбор loop_2026-09-03/E_pravki_a.md. 1739-1774: по Белградскому миру 18.09.1739 (ПСЗРИ т. X № 7900 ст. 3) земля объявлена пустой - ни одна сторона не распоряжается, карта держит чёрное",,
MOLDOVA_LEFT,1791-12-29,,территория,Левобережье Днестра (Очаковская область за Бугом),"Ясский мир 29.12.1791: земли между Бугом и Днестром, включая левый берег Днестра до Тирасполя (заложен 1792)",ПСЗРИ т. XXIII № 17008 (Ясский трактат). ПАРНОЕ добавление к вычитанию MOLDOVA_LEFT: контур источника 1783 левобережье не держит (правило «вычел - верни»),,
AZOV,1774-07-21,,территория,Азов и Таганрог,"Кючук-Кайнарджийский мир 10(21).07.1774, ст. 20: Азов «вѣчно... принадлежать» империи; Таганрог как база Азовской флотилии - с 1769",ПСЗРИ т. XIX № 14164 (Кючук-Кайнарджийский трактат). Разбор E_pravki_a.md,,
TEREK_SHELK,1735-01-01,,территория,Гребенские городки и терско-кизлярское войско,"с постройкой Кизляра 1735 г. гребенские и терские казаки подчинены кизлярскому коменданту (терско-кизлярское казачье войско в гарнизоне); сами городки на левом берегу Терека документированы с 1614-1651 (челобитье 1623 г. о жалованье 30 атаманам и 470 казакам, документ 1651 г. о Нижнем Червлёном городке) - вольная община с присягой и жалованьем, ВОПРОС КУРАТОРУ: считать ли контролем с 1614-1651. Месяц условный","Тхамокова И.Х. 2017 (по документам Терского города); Кушева 1963, 1997; разбор loop_2026-09-03/F1_chechnya_shagi.md",,
MOZDOK,1763-07-28,,территория,Моздок,отряд прибыл к урочищу Моздок 17(28).07.1763 для основания крепости; посольству Большой Кабарды 1764 г. в прекращении стройки отказано,литература (см. F1_chechnya_shagi.md); документ (рапорт/журнал) не разыскан,,
TEREK_NAUR,1770-01-01,,территория,Станицы Моздокского казачьего полка,"в 1770 г. на Терек водворены 517 волжских и 100 донских казачьих семей: станицы Галюгаевская, Ищерская, Наурская, Мекенская, Калиновская; месяц условный",Айдамиров А. 1991 (хронология); разбор F1_chechnya_shagi.md,,
UA_LEFT,1654-01-08,,территория,Левобережная Украина,Переяславская рада 08.01.1654; закреплено Андрусовским перемирием 30.01.1667,Акты ЮЗР т. 10; ПСЗРИ т. 1 № 398,1700,
UA_SLOBODA,1656-03-28,,территория,Слободская Украина,"слободские полки — не Гетманщина: они подчинялись воеводе Белгородского разряда, а не гетману, и Переяславская рада их не касалась. Дата — указ 28 марта 1656 года об учреждении Харьковского воеводства с воеводой Воином Селифонтовым: с него на этой земле появляется управление империи. Кончилось всё манифестом 28.07.1765 (ПСЗРИ, собр. 1-е, т. XVII, № 12440), отменившим само название: «козачьяго названія быть неприлично»","ПСЗРИ, собр. 1-е, т. XVII, № 12440; MAP-MATERIALS/ukraine/04_slobozhanshchina.md",1700,
UA_KYIV,1686-05-06,,территория,Киев,Вечный мир с Речью Посполитой 06.05.1686,ПСЗРИ т. 2 № 1186,1700,
BALT_1721,1721-08-30,,территория,"Эстляндия, Лифляндия, Ингрия",Ништадтский мир 30.08.1721,ПСЗРИ т. 6 № 3819,,
KURILS_SHUMSHU,1715-01-01,1875-05-07,территория,"Шумшу, Парамушир, Атласова","регулярный ясачный сбор с айнов Шумшу и Парамушира Курильским (Большерецким) острогом: росписи Козыревского и Петриловского, приём сборов Уваровским за 1715-1718 гг. одним списком; подчинение без боя 1713 г. (Козыревский) - по литературе, поэтому взят год документа","Памятники сибирской истории XVIII века, кн. 1-2 (ясачные росписи); указ 30.04.1779, ПСЗРИ т. XX № 14867 (подтверждает идущий сбор с ближних островов). Разбор MAP-MATERIALS/loop_2026-09-03/D1_kurily.md. ДО ПРАВКИ 03.09.2026 гряда краснела с указа 1779 г., а Шумшу и Онекотан - с контура источника 1715 г.; месяц условный",,
KURILS_MIDDLE,1855-02-07,1875-05-07,территория,Онекотан - Симушир,"Симодский трактат 26.01(07.02).1855, ст. 2: граница между Итурупом и Урупом, острова севернее - российские; ДЕНЬ ПРИБЛИЖЁН К АКТУ: документа о регулярном сборе или администрации на средних островах до 1855 г. не найдено (поход Чёрного 1766-1769 дал контакт, не управление; указ 1779 г. освободил их от ясака) - ГИПОТЕЗА, на вычитку куратору",Симодский трактат 1855; разбор D1_kurily.md,,
KURILS_URUP,1795-01-01,1806-01-01,территория,Уруп: поселение Шелихова,"поселение Звездочётова (компания Шелихова) на Урупе с 1795 г., оставлено в 1806 г.; месяц условный","литература (см. D1_kurily.md); разрыв 1806-1828 - по статье о колонии на Урупе (cyberleninka, D1_kurily.md)",,
KURILS_URUP,1828-01-01,1875-05-07,территория,Уруп: контора Российско-американской компании,возобновление присутствия РАК на Урупе с 1828 г.; месяц условный,литература (см. D1_kurily.md),,
KZ_YOUNGER,1731-02-19,,территория,Младший жуз,"грамота Анны Иоанновны 19.02.1731, присяга Абулхаир-хана",Материалы по истории Казахской ССР т. 4,,
BY_EAST,1772-07-25,,территория,Первый раздел Речи Посполитой: Подвинье и Поднепровье,конвенция о разделе 25.07.1772,ПСЗРИ т. 19 № 13850,,
LATGALE,1772-07-25,,территория,Первый раздел Речи Посполитой: Латгалия,конвенция о разделе 25.07.1772,ПСЗРИ т. 19 № 13850; Латгалия отрезана рамкой по долготе 26.2° в. д.,,
BY_CENTER,1793-01-12,,территория,Второй раздел Речи Посполитой: Минщина и Поднепровье,конвенция 12.01.1793,ПСЗРИ т. 23 № 17108,,
UA_GALICIA_1914,1914-09-03,1915-06-22,территория,Оккупация восточной Галиции и Буковины,"первый заход империи за Збруч: 18 августа 1914 года вторжение в австрийскую Галицию, 3 сентября занят Львов, 5 сентября Георгий Бобринский назначен генерал-губернатором Галиции и Буковины (должность занимал до 14 июля 1915 года). Кончилось отходом после Горлицкого прорыва: 22 июня 1915 года Львов оставлен. Кампания базы C0070 описывает, что делали на занятой земле: заложники, депортации, разгром греко-католической церкви","MAP-MATERIALS/ukraine/11_zapadnaya_ukraina.md; база деколониалиста, кампания C0070",,"Правый берег под царской рукой дважды до разделов (02.09.2026):
в 1654-1667 годах по присяге полков обоих берегов и в 1704-1711 годах,
когда после разгрома Палия его занимают войска под царской рукой
Вычитание Запорожья и Буджака кончается своей датой, но контур источника
эти земли не красит: между 1775 и 1783 годами Запорожье и после 1812-го
Буджак оставались чёрными. Дыру поймал check_expansion.py (02.09.2026)"
UA_KIROVOHRAD_STEPPE,1752-01-01,,территория,Новая Сербия,"определение Сената и Военной коллегии о поселении сербов «въ Заднепрскихъ мѣстахъ» с границами по рекам: «начавъ отъ устья рѣки Каварлыка прямою линіею до верховья рѣки Тура, а съ верховья рѣки Тура на устье рѣки Каменки, отъ устья рѣки Каменки на верховье рѣки Березовки, отъ верховья рѣки Березовки на вершину рѣки Амелника». Живших там людей велено «выслать въ прежнія ихъ мѣста; понеже они поселились собою, безъ указа», а строения продать приезжим. Дата условная: год поселения, дня нет. Геометрия приближена районами — речной сети в наших слоях нет","ПСЗРИ, собр. 1-е, т. XIII",,
UA_ZAPOROZHYE,1775-05-04,,территория,Земли Войска Запорожского,"военное занятие Сечи 4 мая 1775 года; манифест 3 августа того же года (ПСЗРИ, собр. 1-е, т. XX, № 14354) причислил земли «по способности къ Новороссійской Губерніи»","ПСЗРИ, собр. 1-е, т. XX, № 14354",,
UA_BUDJAK,1812-05-28,,территория,Буджак,"Бухарестский мир 16 (28) мая 1812 года: юг Бессарабии с Измаилом, Килией и Аккерманом","Бухарестский мирный договор 1812 года; том XXXII свода на диске отсутствует, акт подлежит сверке",,
UA_KYIV_RIGHT,1654-01-08,1667-01-30,территория,Правобережные полки Войска Запорожского,"присягу в Переяславе принесли полки обоих берегов, столица гетмана Чигирин стоит на правом; что присяга была, доказывает Андрусовское перемирие 1667 года, где царь освобождает правобережных казаков «отъ присяги, себѣ на подданство учиненной»","ПСЗРИ, собр. 1-е, т. I (Андрусово); письмо Хмельницкого из Чигирина 21.03.1654",,
UA_KYIV_RIGHT,1704-01-01,1711-07-12,территория,Правобережье под царской рукой,"после разгрома Палия правый берег занимают войска гетмана под царской рукой; союзный договор 1704 года обязывает царя, что «Палей добрымъ ли или худымъ способомъ принужденъ будетъ крѣпости и города, взятыя во время бывшихъ [смут, возвратить]». Кончается Прутским договором 12.07.1711: «Въ Польскія дела съ обѣихъ сторонъ не мѣшаться, такожъ и ихъ подданныхъ ни чемъ присвоить, ни ихъ, ни земель ихъ»","ПСЗРИ, собр. 1-е, т. IV",,
UA_VOLHYNIA_EAST,1793-01-12,,территория,Второй раздел Речи Посполитой: восточная Волынь,"по второму разделу империя получила восточную половину Волынского воеводства, и уже 5 июля 1795 года, ДО третьего раздела, учреждена Волынская губерния «первая изъ 13, а послѣдняя изъ 12 уѣздовъ» (ПСЗРИ, собр. 1-е, т. XXIII, № 17352). Черта трактата 1793 года шла от Пинска «чрезъ Куневъ между Вышгрода и Новогробли близь границы Галлиціи» (№ 17141). ПОПРАВКА 22.09.2026: прежняя заметка ставила Ровно и Дубно восточнее черты - это не так, оба западнее и вошли третьим разделом; их режет вычитание RP_1793 по контуру OpenHistoricalMap","ПСЗРИ, собр. 1-е, т. XXIII, № 17108 и № 17352",,
UA_RIGHT,1793-01-12,,территория,Второй раздел Речи Посполитой: Правобережная Украина,конвенция 12.01.1793,ПСЗРИ т. 23 № 17108,,
BIALYSTOK,1807-07-09,,территория,Белостокская область,"Тильзитский мир 7 июля (25 июня) 1807 года: империя получает от Пруссии Белостокскую область. До этого, с третьего раздела 1795 года, Белосток был прусским, а контур источника красит его уже с 1800-го. Геометрия приближена Подляским воеводством целиком: сама Белостокская область была меньше, но резать воеводство прямой линией — то же, от чего мы уходим",Тильзитский мирный договор 1807 года,,
BY_WEST,1795-10-13,,территория,Третий раздел Речи Посполитой: Гродненщина и Берестейщина,конвенция 13.10.1795,ПСЗРИ т. 23 № 17417,,
LITHUANIA,1795-10-13,,территория,Третий раздел Речи Посполитой: Литва,конвенция 13.10.1795,ПСЗРИ т. 23 № 17417; Занеманье (Сувалкия) вошло только в 1815 - приближение современной Литвой это упрощает,,
COURLAND,1795-10-13,,территория,Третий раздел Речи Посполитой: Курляндия,конвенция 13.10.1795; акт герцога Петра Бирона 28.03.1795,ПСЗРИ т. 23 № 17319; Курляндия отрезана рамкой по долготе 24° в. д.,,
UA_VOLHYNIA,1795-10-13,,территория,Третий раздел Речи Посполитой: Западная Волынь,конвенция 13.10.1795,ПСЗРИ т. 23 № 17417,,
