country,since,comment
China,,"Страны, где империи без отдельного акта быть не может."
Mongolia,,
North Korea,,
South Korea,,
Japan,,
Afghanistan,,
Iran,,
Turkey,,
Sweden,,
Norway,,
India,,
Pakistan,,
Nepal,,
Bhutan,,
Georgia,1991-04-09,
Lithuania,1991-08-21,
Estonia,1991-08-21,
Latvia,1991-08-21,
Ukraine,1991-08-24,
Belarus,1991-08-25,
Moldova,1991-08-27,
Azerbaijan,1991-08-30,
Uzbekistan,1991-08-31,
Kyrgyzstan,1991-08-31,
Tajikistan,1991-09-09,
Armenia,1991-09-21,
Turkmenistan,1991-10-27,
Kazakhstan,1991-12-16,
