op,provider,frm,to,name,why,comment
sub,"('reg', 'CHECHNYA_MTN_1925')",1921-03-18,1925-09-15,Горная Чечня до разоружения 1925 г.,"анкета штаба операции по горному району, август 1925: «Состояние аппаратов власти района неудовлетворительное: осязательный авторитет власти в окрестности Шатоя. За Шаро-Аргуном советской власти не существует» (Мурдалов/Алаудинов 2021, уже в кампании C1177 базы); контроль установлен операцией 25.08-15.09.1925 (Эльбуздукаева 2015). Веденский, Ножай-Юртовский, Итум-Калинский, Шаройский, Шатойский районы - приближение. Разбор loop_2026-09-03/F1_chechnya_shagi.md",
sub,"('reg', 'TUVA')",1921-08-14,1944-10-11,Танну-Тува,"Танну-Тувинская народная республика провозглашена 14.08.1921, признана РСФСР 22.07.1925 и в состав СССР вошла только 11.10.1944 (постановление Президиума Верховного Совета СССР о принятии ТНР в состав СССР, 13.10.1944 - в состав РСФСР автономной областью). Контур CShapes держит Туву внутри СССР непрерывно, из-за этого на карте она краснела с 12.03.1940 - на четыре с половиной года раньше. Пруф: Атлас УІФ, розд. 44 п. 11 и розд. 47 п. 41",
add,"('reg', 'PERSIA_ANZALI')",1921-03-18,1921-09-08,Энзели (Гилян),"советские войска в Энзели - порту Гиляна на Каспии - с десанта 18.05.1920 до вывода 08.09.1921 (Encyclopaedia Iranica; M. Rezun 1981, p. 17). До 18.03.1921 окно держит слой зон 1917-1921",
sub,"('reg', 'PERSIA_ANZALI')",1921-09-08,1921-09-09,Энзели (Гилян),"вывод советских войск завершён 08.09.1921. Срез этого дня - копия среза 14.08.1921, где Энзели ещё красный: вычитание снимает его в день вывода",
add,"('reg', 'OCC11_HANKO')",1940-03-23,1941-12-03,Ханко: военно-морская база,"зона аренды по ст. 4 Московского договора 12.03.1940 передана 22.03.1940 в 24:00; финских жителей в ней нет, правит командование военно-морской базы (советский город «Гангут» с почтой и милицией); последние советские войска ушли морем в ночь на 03.12.1941 (fi.wiki «Hangon rintama 1941»; Söderlund 2011; Helsingin Reservin Sanomat; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_bazy_mongoliya_tuva_2026-09-22.md)","военно-морские базы на финской земле (пачка 11, 22.09.2026)"
add,"('reg', 'OCC11_PORKKALA')",1944-09-29,1956-01-26,Порккала: военно-морская база,"зона аренды по ст. 8 и прил. G соглашения о перемирии 19.09.1944: 7 272 жителя выселены к полуночи 28/29.09.1944, шлагбаум опущен 29.09.1944 в 08:00; правит командование ВМБ Порккала-Удд, штаб в Киркконумми; возврат Финляндии 26.01.1956 (Yle Elävä arkisto 2014; Kirkkonummi 2025; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_bazy_mongoliya_tuva_2026-09-22.md)",
sub,"('reg', 'OCC11_PORKKALA')",1956-01-26,1956-01-27,Порккала: военно-морская база,"возврат Финляндии 26.01.1956. Срез этого дня - копия среза 1946 года, где Порккала ещё красная: вычитание снимает её в день возврата",
sub,"('reg', 'NENETS')",1921-03-18,1929-07-15,"Ненецкие тундры: Канин, Тиман, Колгуев","Ненецкий округ образован постановлением Президиума ВЦИК 15.07.1929; до того своей администрации на этой земле нет - только дань через Пустозерск. Позднее окно строится из контура CShapes и таблицу вычитаний не читает, поэтому строка нужна здесь отдельно",
add,"('reg_cs', 'NENETS', (1946, 1, 1))",1929-07-15,,Ненецкие тундры,"возврат красного 15.07.1929, с образованием Ненецкого округа: срез делается копией предыдущего, а тот уже вычтен",
sub,"('reg', 'NORTH_1930')",1921-03-18,1930-12-10,"Север: Таймыр, Эвенкия, Туруханск, Ямал и Гыдан","Красное на всём этом севере приходит 10.12.1930, одним постановлением Всероссийского центрального исполнительного комитета об организации национальных объединений в районах расселения малых народностей Севера: Таймырский, Эвенкийский и Ямальский национальные округа плюс Туруханский район. До того империя этими землями не распоряжалась (разбор в data/crosscheck/siberia_control_vs_act.md). Раннее окно вычитает их таблицей SUBS, окно гражданской войны - своим окном NORTH_NOT_YET, а позднее окно строится из контура CShapes и о них не знает: без этой строки север краснел бы с 18.03.1921",
sub,"('reg', 'KURILS_ALL')",1921-03-18,1945-09-03,Курильская гряда у Японии,"по Петербургскому трактату 07.05.1875 вся гряда японская; позднее окно строится из контура CShapes и таблицу вычитаний не читает, поэтому строка нужна здесь отдельно",
add,"('reg', 'KURILS_ALL')",1945-09-03,,Курильская гряда,"возврат красного Курильской десантной операцией 18.08-01.09.1945. Геометрия из OpenStreetMap, а не обрезанная контуром СССР: острова мелкие и в контуре CShapes теряются - на срезе 1946 года Итуруп до этой правки был чёрным",
add,"('reg_cs', 'NORTH_1930', (1946, 1, 1))",1930-12-10,,"Север: Таймыр, Эвенкия, Туруханск, Ямал и Гыдан","Возврат красного 10.12.1930, когда постановлением Всероссийского центрального исполнительного комитета образованы Таймырский, Эвенкийский и Ямальский национальные округа и Туруханский район. Строка нужна потому, что срез 10.12.1930 делается копией среза 1922 года, а тот уже вычтен предыдущей строкой: без возврата север остался бы чёрным навсегда. Геометрия обрезана контуром СССР, как у Тувы, чтобы современная нарезка не сдвинула береговую линию",
add,"('reg', 'GEO_AJARIA')",1921-03-18,1991-04-09,Батумская область (Аджария),"Аджарская АССР образована 16.07.1921 и из состава империи не выходила, но контуры CShapes 1921-1946 гг. обрезают побережье так, что Батуми оказывается вне полигона - тот же дефект источника, что гасил Батум на срезе 1886 г. до правки 19.08.2026. Чиним курируемым добавлением; уходит вместе с Грузией 09.04.1991",
add,"('reg_cs', 'CENTRAL_ASIA', (1946, 1, 1))",1922-01-01,1939-09-17,"Средняя Азия: Бухара, Хорезм, Чарджоу, Керки, Кермине, Восточный Памир","срез 1922 г. - оцифровка карты «СССР 1922-1923» атласа УІФ (розд. 44): Бухарская и Хорезмская народные республики в СССР не входили, и контур их не держит. Срезы 1925-09-15, 1929-07-15 и 1930-12-10 - копии этого контура, поэтому Бухара, Хива, Душанбе, Ташауз, Нукус, Чарджоу, Керки и Восточный Памир не краснели с 1922 г. до среза 17.09.1939 - семнадцать лет, хотя с 27.10.1924 это Узбекская и Туркменская ССР и Таджикская АССР. По правилу «контроль, а не акт» и правилу оккупации (куратор 18.09.2026) красное тут без перерыва: РККА взяла Хиву 02.02.1920 и Бухару 02.09.1920 и там стояла, срез 1921 г. (CShapes) держит обе республики внутри, а ранние срезы красят Бухару и Хиву протекторатом с 1868 и 1873 гг. Возвращаем пять нынешних республик, обрезанных контуром СССР 1946 г.: всё добавленное было красным на срезе 1921-08-14. Разбор - MAP-MATERIALS/BACKLOG_KARTY.md, Б6",
add,"('reg', 'DDR_1953_CHP')",1953-06-17,1953-06-25,ГДР: чрезвычайное положение советских комендантов,"с 13:00 17.06.1953 советские коменданты ввели чрезвычайное положение в 167 из 217 районов: комендантский час, военные трибуналы, расстрелы по приговору; донесение Соколовского, Семёнова и Юдина 24.06.1953: «the control of the situation in the city was essentially passed to the hands of Soviet organs». Снято 24.06 в 24:00 «für die DDR mit Ausnahme der Städte Berlin, Magdeburg, Halle, Potsdam, Görlitz, Dessau, Merseburg, Bitterfeld, Cottbus, Dresden, Leipzig, Gera und Jena» (FDGB-Lexikon, 2009; Bundesarchiv). Поимённого списка 167 районов нет, округ Зуль без ЧП (Bundesarchiv) - закрашено округами, с ними до 42 районов, где ЧП, возможно, не было","--- сателлиты: где империя правила сама (22.09.2026) -------------------
Правило куратора 18.09.2026: военная оккупация = имперский контроль =
красное. Концы - по дню, когда кончилось правление войск, а не по
договорам; разбор - строка 32 файла вопросов куратору и
peresmotr_resheniy_2026-09-18/05_satellity.md"
add,"('reg', 'DDR_1953_13')",1953-06-25,1953-06-30,ГДР: 13 городов под советскими комендантами,"города, где чрезвычайное положение не снято 24.06.1953 (FDGB-Lexikon; Bundesarchiv: «nach und nach»); дни снятия по городам не найдены, конец - по bpb.de: «Am 25. und 29. Juni 1953 hob die sowjetische Besatzungsmacht den Ausnahmezustand für viele Regionen in der DDR auf»",
add,"('reg', 'DDR_1953_3')",1953-06-30,1953-07-12,"Восточный Берлин, Галле, Лейпциг под советскими комендантами","«zuletzt am 11. Juli in Berlin, Leipzig und Halle» (Bundesarchiv); для Галле и Лейпцига - именно города: «Der Ausnahmezustand blieb für die Stadt bis zum 11. Juli wirksam»",
add,"('cs', 310)",1956-11-04,1957-05-27,Венгрия: правление советского военного командования,"с 04.11.1956 «the administration of the country was, in fact, in the hands of the Soviet Military Command» (доклад Специального комитета ООН A/3592, § 640): коменданты от своего имени приказывают сдать оружие и вводят комендантский час (Корнюшин в Пече 05.11, Гребенник в Будапеште 06.11, § 601); связь, транспорт и железные дороги «effectively maintained by the Soviet Military Command for a number of months» (§ 607), аресты «independently of the Hungarian authorities» ещё в апреле 1957 (§ 761). Конец - соглашение о правовом статусе советских войск 27.05.1957 (A/3592, приложение A)",
add,"('cs', 315)",1968-08-21,1968-10-16,Чехословакия: оккупация войсками Варшавского договора,"в ночь на 21.08.1968 войска СССР, Польши, Венгрии и Болгарии заняли страну за сутки с небольшим; до вторжения контроль не терялся. С начала сентября войска выводят из городов, комендатуры упразднены по мере ухода (П. Минаржик, «Střední skupina sovětských vojsk»); договор о временном пребывании советских войск 16.10.1968 - дальше Центральная группа войск в гарнизонах по договору, это сфера",
add,"('reg', 'SOLOVKI')",1921-03-18,,Соловецкие острова,"монастырь под Москвой с 1478 года, с 1923 года - Соловецкий лагерь особого назначения. Контур CShapes позднего окна острова теряет (кремля не было в срезах 1922, 1925, 1940 - BACKLOG Б6 п. 2); геометрия - острова OSM, чистка контура их не трогает (LATE_PROTECT)",
add,"('reg', 'CHECHNYA_MTN_1925')",1925-09-15,,Горная Чечня после разоружения 1925 г.,"операция 25.08-15.09.1925: войска прошли 242 горных аула, 05.09.1925 арестован Гоцинский, 07.09.1925 Уншлихт доложил Политбюро об окончании (Эльбуздукаева 2015; кампания C1177). Парное добавление к вычитанию CHECHNYA_MTN_1925 - правило «вычел - верни»",
add,"('reg_cs', 'TUVA', (1946, 1, 1))",1944-10-11,,Тува в составе СССР,"ТНР принята в состав СССР постановлением Президиума Верховного Совета СССР 11.10.1944, 13.10.1944 включена в РСФСР автономной областью. Строка нужна не только срезу 11.10.1944: контур-основа слоя Второй мировой (срез 1940-06-28) Туву теперь НЕ содержит, и без этого добавления она пропала бы из всех срезов до 1946 года",
