key,base,why,comment
1921-08-14,1921-03-18,Танну-Тува провозгласила независимость 14.08.1921,
1921-09-08,1921-08-14,Гилян: вывод советских войск завершён 08.09.1921,
1944-10-11,ww2,Тувинская народная республика принята в состав СССР 11.10.1944,
1929-07-15,1922,"Ненецкий округ образован 15.07.1929 - красное приходит на Канин, Тиман и Колгуев",
1930-12-10,1929-07-15,Таймырский (Долгано-Ненецкий) национальный округ образован 10.12.1930 - красное приходит на Таймыр,
1925-09-15,1922,"операция разоружения горной Чечни 25.08-15.09.1925 (Уборевич, Евдокимов): за Шаро-Аргуном появляется советская власть",
1953-06-17,1946,ГДР: чрезвычайное положение советских комендантов с 13:00 17.06.1953,сателлиты: окна прямого правления советских войск (22.09.2026)
1953-06-25,1946,"ГДР: чрезвычайное положение снято 24.06 в 24:00, кроме 13 городов",
1953-06-30,1946,"ГДР: чрезвычайное положение держится в Берлине, Галле и Лейпциге",
1953-07-12,1946,"ГДР: чрезвычайное положение снято в Берлине, Галле и Лейпциге 11.07.1953",
1956-11-04,1946,"Венгрия: операция «Вихрь», страной правит советское военное командование",
1957-05-27,1946,Венгрия: соглашение о правовом статусе советских войск 27.05.1957,
1968-08-21,1946,Чехословакия: вторжение пяти армий Варшавского договора в ночь на 21.08.1968,
1968-10-16,1946,Чехословакия: договор о временном пребывании советских войск 16.10.1968,
1940-03-23,1940-03-12,Ханко: зона аренды передана 22.03.1940 в 24:00,"военно-морские базы на финской земле (пачка 11, 22.09.2026)"
1941-12-03,ww2,Ханко: последние советские войска ушли в ночь на 03.12.1941,
1944-09-29,ww2,"Порккала: жители выселены, шлагбаум опущен 29.09.1944 в 08:00",
1956-01-26,1946,Порккала возвращена Финляндии 26.01.1956,
