id,spec,comment
NOVGOROD_LAND,"[('ne', 'Russia', ['Novgorod', 'Leningrad', 'City of St. Petersburg', ""Arkhangel'sk"", 'Murmansk', 'Nenets', 'Karelia'])]","--- XV - начало XVI века: как Москва брала соседей ----------------------
Заведено 26.08.2026 при сверке с атласом УІФ (розд. 2-5). Раньше карта
начиналась с 1500 года, и рождение империи оставалось за краем.
Новгородская земля: город, пригороды и пятины плюс дальние волости -
Заволочье (Двинская земля), Колоперм и Тре (Кольский полуостров),
Печора, Корела. Приближены современными областями; Вологда с Заозерьем
и Важской землёй ушла к Москве раньше, в 1471 г., и вынесена отдельно."
SOLOVKI,"[('file', 'north/solovki_simple.geojson')]","Соловецкие острова (19.09.2026): в контурах источника их нет, а
NOVGOROD_LAND обрезан контуром 1492 г. - острова краснели только с 1918 г.
Геометрия - острова OpenStreetMap (tools/fetch_osm_units.py solovki)"
VOLOGDA_1471,"[('ne', 'Russia', ['Vologda'])]","Вологда, Заозерье и Кубена, Важская земля, Волок Ламский - по атласу УІФ
(розд. 5, п. 4-7) отошли Москве по итогам войны 1471 года"
TVER_LAND,"[('ne', 'Russia', [""Tver'""])]",
VYATKA_LAND,"[('ne', 'Russia', ['Kirov'])]",
FI_JOINT_TRIBUTE,"[('ne', 'Finland', None)]","Восточная Финляндия и Лапландия: у источника в контуре 1492 г. они внутри
Москвы, а в контуре 1500 г. - уже нет. Атлас УІФ (розд. 5, п. 21-22)
прямо говорит, что территория совместного сбора дани Швеции с Новгородом
(а потом с Московией - до 1536 г.) в состав ВКМ НЕ ВОШЛА. Вычитаем её из
окна 1450-1492, дальше идёт контур источника"
PSKOV_LAND,"[('hb_name', 1500, 'Pskov')]","Псков и Рязань - контуры САМОГО ИСТОЧНИКА: в файле 1500 года это
отдельные фичи, приближать современными областями незачем"
RYAZAN_LAND,"[('hb_name', 1500, 'Ryazan')]",
SEVERSK_1503,"[('ne', 'Russia', ['Bryansk']), ('ne', 'Ukraine', ['Chernihiv']), ('file', 'ukraine/sumy_seversk.geojson')]","--- войны за «киевское наследство» и Смута ------------------------------
Заведено 26.08.2026 (атлас УІФ, розд. 6-7, 19-20, 22).
Северщина 1503 г.: Брянск, Стародуб, Новгород-Северский, Чернигов,
Путивль, Рыльск. Приближена Брянской, Черниговской и Сумской областями
03.09.2026: Сумская область ЦЕЛИКОМ красила Сумы 1503 годом, за полтора
века до города (1655). Теперь районами (разбор loop_2026-09-03/E_pravki_a.md):
Северщина 1503 - Шосткинский район, Путивль и Бурынь; Гетманщина 1654 -
Конотопский (без Путивля) и Роменский; Слобожанщина 1656 - Сумский и
Ахтырский"
SMOLENSK_LAND,"[('ne', 'Russia', ['Smolensk'])]",
