gwcode,name,date,act,src,comment
372,Грузия,1991-04-09,"Акт о восстановлении государственной независимости Грузии, принят Верховным Советом 09.04.1991 по итогам референдума 31.03.1991","текст Акта 09.04.1991; Атлас УІФ, розд. 52. Южная Осетия с 05.01.1991 идёт отдельным слоем постсоветских эпизодов",
368,Литва,1991-08-21,"провал путча ГКЧП 21.08.1991: империя перестала держать республику силой. Акт о восстановлении независимости принят 11.03.1990, но с апреля 1990 шла экономическая блокада, в ночь на 13.01.1991 войска и ОМОН заняли вильнюсскую телебашню и Дом печати, 14 человек убиты; Госсовет СССР признал независимость 06.09.1991","постановление Госсовета СССР № ГС-1 от 06.09.1991; Атлас УІФ, розд. 52",
366,Эстония,1991-08-21,постановление Верховного Совета «О государственной независимости Эстонии» 20.08.1991 и провал путча 21.08.1991; Госсовет СССР признал независимость 06.09.1991,постановление Госсовета СССР № ГС-2 от 06.09.1991,
367,Латвия,1991-08-21,конституционный закон «О государственном статусе Латвийской Республики» 21.08.1991; Госсовет СССР признал независимость 06.09.1991,постановление Госсовета СССР № ГС-3 от 06.09.1991,
369,Украина,1991-08-24,"Акт провозглашения независимости Украины 24.08.1991; в тот же день Верховная Рада подчинила себе все войска на территории республики; подтверждено референдумом 01.12.1991 (90,3% за)",Акт проголошення незалежності України 24.08.1991; постановление Верховной Рады от 24.08.1991: «О воинских формированиях на Украине»,
370,Беларусь,1991-08-25,закон 25.08.1991 о придании Декларации о государственном суверенитете статуса конституционного закона и постановление об обеспечении политической и экономической самостоятельности,"Ведомости ВС БССР, 1991. С 26.12.1991 Беларусь идёт отдельным слоем несуверенного сателлита (решение куратора 18.08.2026)",
359,Молдова,1991-08-27,Декларация о независимости Республики Молдова 27.08.1991,текст Декларации 27.08.1991. Приднестровье с 02.03.1992 идёт отдельным слоем постсоветских эпизодов,
373,Азербайджан,1991-08-30,Декларация о восстановлении государственной независимости 30.08.1991 (конституционный акт 18.10.1991),текст Декларации 30.08.1991,
704,Узбекистан,1991-08-31,закон «Об основах государственной независимости Республики Узбекистан» 31.08.1991,"Ведомости ВС УзССР, 1991",
703,Кыргызстан,1991-08-31,Декларация о государственной независимости Республики Кыргызстан 31.08.1991,"Ведомости ВС Кыргызской ССР, 1991",
702,Таджикистан,1991-09-09,заявление о государственной независимости Республики Таджикистан 09.09.1991,"Ведомости ВС Таджикской ССР, 1991",
371,Армения,1991-09-21,"референдум о независимости 21.09.1991 (99,5% за), декларация о независимости 23.09.1991","Ведомости ВС Республики Армения, 1991. Нагорный Карабах 1989-1994 в слои карты не заведён",
701,Туркменистан,1991-10-27,референдум 26.10.1991 и конституционный закон о независимости 27.10.1991,"Ведомости ВС Туркменской ССР, 1991",
705,Казахстан,1991-12-16,конституционный закон «О государственной независимости Республики Казахстан» 16.12.1991 - последняя из пятнадцати республик,"Ведомости ВС Казахской ССР, 1991",
