reg,frm,to,name,why,comment
NOVGOROD_LAND,,1478-01-15,Новгородская земля,"до 15.01.1478 это ДРУГОЙ СУБЪЕКТ, а не империя: Новгородская республика со своим типом колониализма (Атлас УІФ, розд. 2). После Шелони 14.07.1471 она стала вассалом Москвы, но показ бинарный - вассальную республику мы не красим имперским цветом до аннексии","--- XV век: чего у Москвы на дату ещё нет ------------------------------
Основа окна 1450-1492 - контур источника 1492 года (Москва уже с
Новгородом, Тверью и Вяткой). Вычитаем то, что на дату ещё не взято."
VOLOGDA_1471,,1471-08-11,"Вологда, Заозерье, Важская земля","новгородские волости, отошедшие Москве по Коростынскому договору 11.08.1471; до этого - новгородские или московско-новгородские совладения",
TVER_LAND,,1485-09-12,Великое княжество Тверское,независимое государство до 12.09.1485,
FI_JOINT_TRIBUTE,,1500-01-01,Восточная Финляндия и Лапландия,"источник в контуре 1492 г. держит их внутри Москвы, а уже в контуре 1500 г. - нет. Атлас УІФ (розд. 5, п. 21-22): территория совместного сбора дани Швеции с Новгородом, а после 1478 г. с Московией (до 1536 г.), в состав ВКМ не входила. Вычитание работает только в окне 1450-1492, дальше идёт контур источника как был",
VYATKA_LAND,,1489-08-16,Вятская земля,"новгородская волость, с 1452 г. фактически независимая республика, с 1485 г. снова самостоятельная; взята Москвой 16.08.1489",
AZOV,1711-07-12,1774-07-21,Азов между Прутом и Кючук-Кайнарджи,Прутский договор 12.07.1711 вернул Азов Порте; Белградский мир 18.09.1739 (ПСЗРИ т. X № 7900 ст. 3) объявил азовскую землю пустой - контроля нет ни у кого до Кючук-Кайнарджи 1774,"--- Смута 1598-1619: чего у империи не стало ---------------------------
Заведено 26.08.2026 (атлас УІФ, розд. 19-20, 22, 26, 28). До этой правки
между срезами 1600 и 1632-09-25 у карты не было НИ ОДНОГО среза - 32
года без движения, и Смоленск числился имперским непрерывно с 1600 года."
MOLDOVA_LEFT,,1791-12-29,Левобережье Днестра,контур источника 1783 г. красил Тирасполь за восемь лет до Ясского мира 29.12.1791 (ПСЗРИ т. XXIII № 17008); разбор E_pravki_a.md,
MOLDOVA_RIGHT,,1812-05-16,"Правобережье Днестра (Бендеры, Кишинёв)",контур источника 1783 г. красил турецкую крепость Бендеры за 29 лет до Бухарестского мира 16.05.1812; разбор E_pravki_a.md,
TEREK_SHELK,,1735-01-01,Шелковской район до Кизляра,до подчинения кизлярскому коменданту - вольная гребенская община (см. A TEREK_SHELK),
TEREK_NAUR,,1770-01-01,Наурский район до станиц 1770,см. A TEREK_NAUR,
MOZDOK,,1763-07-28,Моздок до крепости,см. A MOZDOK,
SMOLENSK_LAND,1611-06-03,1654-09-23,Смоленская земля,"войско польского короля Сигизмунда III осадило Смоленск 19.09.1609 и вошло в город 03.06.1611; Смоленск остался за Речью Посполитой; Деулинское перемирие 01.12.1618 закрепило Смоленщину за ней на 14,5 лет, Смоленская война 1632-1634 гг. города не вернула - по Поляновскому миру 04.06.1634 Смоленск остался у Речи Посполитой, Москве отошёл только Серпейск. Возвращён 23.09.1654: гарнизон капитулировал, царское войско вошло в город - ЭТО ДАТА КОНТРОЛЯ, юридически уступка оформлена только Андрусовским перемирием 30.01.1667. Пруф: ПСРЛ т. 14; Дневник событий... С. Маскевича; Акты Московского государства т. 2; Атлас УІФ, розд. 20, 22, 26",
