place,lat,lon,date,expected_controller,source,note
Варшава,52.23,21.01,1918-06-01,germans,"факт германской оккупации с 08.1915 + Брестский мир 03.03.1918","ЖЁСТКИЙ РАЗБЕГ (баг 18.08.2026): CShapes держит Царство Польское российским де-юре до 11.11.1918, карта красила Варшаву красной. Срез 1918 переведён на полигон от 11.11.1918 - точка должна давать no-data, а не sovrus"
Варшава,52.23,21.01,1940-01-01,germans,"оккупация Германией с 09.1939, Генерал-губернаторство","контроль СССР на Варшаву не распространялся никогда; проверка, что западный контур не поехал"
Луцк,50.75,25.34,1939-10-15,bolsheviks,"советская оккупация Западной Украины с 17.09.1939, аннексия оформлена 01.11.1939","у CShapes Западная Украина уходит СССР только с 08.05.1945; дыра закрыта 26.08.2026 срезом 1939-09-17 (tools/build_pact_1939.py), строка теперь match"
Львов,49.84,24.03,1940-01-01,bolsheviks,"советская оккупация с 22.09.1939, Львовская область УССР с 04.12.1939","та же дыра CShapes; куратор увидел её на дате 01.01.1940 - закрыта 26.08.2026, строка теперь match"
Харьков,50.00,36.23,1917-12-26,bolsheviks,"draft_events.csv 1917-12-25 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1918-02-09,bolsheviks,"draft_events.csv 1918-02-08 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1918-03-02,germans,"draft_events.csv 1918-03-01 took_city (confidence high)","контроль на следующий день после взятия"
Одесса,46.48,30.73,1918-12-11,directory,"draft_events.csv 1918-12-10 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1918-12-15,directory,"draft_events.csv 1918-12-14 took_city (confidence high)","контроль на следующий день после взятия"
Харьков,50.00,36.23,1919-01-04,bolsheviks,"draft_events.csv 1919-01-03 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1919-02-06,bolsheviks,"draft_events.csv 1919-02-05 took_city (confidence high)","контроль на следующий день после взятия"
Луганск,48.57,39.31,1919-05-28,whites,"draft_events.csv 1919-05-27 took_city (confidence high)","деникинцы держали город до 23.12.1919"
Харьков,50.00,36.23,1919-06-25,whites,"draft_events.csv 1919-06-24 took_city (confidence high)","контроль на следующий день после взятия"
Одесса,46.48,30.73,1919-08-29,whites,"draft_events.csv 1919-08-28 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1919-09-01,whites,"draft_events.csv 1919-08-31 took_city (confidence high)","двойное взятие Киева 30-31.08.1919: город остался за белыми"
Житомир,50.25,28.66,1919-09-18,bolsheviks,"draft_events.csv 1919-09-17 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1919-12-17,bolsheviks,"draft_events.csv 1919-12-16 took_city (confidence high)","контроль на следующий день после взятия"
Одесса,46.48,30.73,1920-02-08,bolsheviks,"draft_events.csv 1920-02-07 took_city (confidence high)","контроль на следующий день после взятия"
Киев,50.45,30.52,1920-05-08,poles,"draft_events.csv 1920-05-07 took_city (confidence high)","польско-украинское наступление, город удержан до 12.06.1920"
Каменец-Подольский,48.68,26.59,1920-11-17,bolsheviks,"draft_events.csv 1920-11-16 took_city (confidence high)","последний город, утраченный УНР"
