city,lat,lon,date,controller,expected,source,note
Москва,55.75,37.62,1918-08-15,bolsheviks,empire,"ГВЭ 2010, столица РСФСР",опорная точка: в империи во все дни периода
Москва,55.75,37.62,1919-10-15,bolsheviks,empire,"ГВЭ 2010, столица РСФСР",Деникин дошёл до Орла и повернул
Петроград,59.94,30.31,1919-10-15,bolsheviks,empire,"ГВЭ 2010, оборона Петрограда 10.1919",Юденич подошёл к Пулково и был отброшен
Вологда,59.22,39.89,1919-06-01,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2 (Северный фронт)",тыл Северного фронта
Вятка,58.60,49.66,1919-04-20,bolsheviks,empire,"Smele, Civil War in Siberia (1996)",весеннее наступление Колчака до Вятки не дошло
Саратов,51.53,46.03,1918-08-15,bolsheviks,empire,"ГВЭ 2010",Комуч Саратова не взял
Астрахань,46.35,48.04,1919-10-15,bolsheviks,empire,"Kenez, Civil War in South Russia (1971)",XI армия удержала Астрахань
Тула,54.19,37.62,1919-10-15,bolsheviks,empire,"Kenez, Civil War in South Russia (1977)",тыл Южного фронта в дни орловско-кромского боя
Орёл,52.97,36.07,1919-10-15,whites,empire,"Kenez, Civil War in South Russia (1977)","Орёл взят ВСЮР 13.10.1919 - предел похода Деникина на Москву; белые это имперцы, город остаётся красным"
Киев,50.45,30.52,1918-03-02,rada_germans,not_empire,"data/events/ukraina_1917_1921/draft_events.csv","немцы в Киеве 01.03.1918, вернули Центральную раду - УНР вне империи"
Киев,50.45,30.52,1918-12-01,directory,not_empire,"ГВЭ 2010; data/events/ukraina_1917_1921/draft_events.csv","Директория осадила Киев в ноябре и взяла 14.12.1918; на срезе 15.11.1918 город и так под гетманатом - УНР во всех формах вне империи"
Киев,50.45,30.52,1919-02-06,bolsheviks,empire,"data/events/ukraina_1917_1921/draft_events.csv",взятие Киева РККА 05.02.1919
Киев,50.45,30.52,1919-05-01,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",Киев красный между 02.1919 и 08.1919
Киев,50.45,30.52,1919-10-01,whites,empire,"Kenez, Civil War in South Russia (1977)",Киев у ВСЮР с 31.08.1919 - смена фракции внутри империи
Харьков,49.99,36.23,1919-07-20,whites,empire,"data/events/ukraina_1917_1921/draft_events.csv",Май-Маевский взял Харьков 24.06.1919 - тыл ВСЮР
Одесса,46.48,30.73,1920-02-08,bolsheviks,empire,"data/events/ukraina_1917_1921/draft_events.csv",РККА в Одессе 07.02.1920
Минск,53.90,27.56,1918-03-02,germans,not_empire,"ГВЭ 2010; Брестский мир",немцы взяли Минск 21.02.1918 - другая держава, не империя
Минск,53.90,27.56,1918-06-10,germans,not_empire,"ГВЭ 2010",немецкая оккупация до декабря 1918
Минск,53.90,27.56,1919-10-15,poles,not_empire,"Директивы командования фронтов РККА, т. 2 (Западный фронт)",поляки взяли Минск 08.08.1919
Минск,53.90,27.56,1920-11-01,bolsheviks,empire,"Директивы командования фронтов РККА, т. 3",РККА вернулась в Минск 11.07.1920
Брест,52.10,23.69,1920-11-17,poles,not_empire,"прелиминарный Рижский договор 12.10.1920",Западная Беларусь за Польшей
Гомель,52.43,30.99,1919-06-01,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",восточная Беларусь в империи после ухода немцев
Кишинёв,47.01,28.86,1918-06-10,romania,not_empire,"ГВЭ 2010; акт Сфатул Цэрий 27.03.1918",румынские войска в Кишинёве 13.01.1918
Псков,57.82,28.33,1918-06-10,germans,not_empire,"ГВЭ 2010",немцы взяли Псков 25.02.1918
Архангельск,64.54,40.53,1918-08-15,north_region,empire,"ГВЭ 2010; Северная область","десант Антанты 02.08.1918, в тот же день Верховное управление Северной области (Чайковский) - русская белая администрация, империя"
Архангельск,64.54,40.53,1919-10-15,north_region,empire,"ГВЭ 2010; Северная область",Северная область Миллера до февраля 1920
Архангельск,64.54,40.53,1920-03-20,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА в Архангельске 21.02.1920
Мурманск,68.97,33.09,1919-06-01,north_region,empire,"ГВЭ 2010","десант Антанты 06.03.1918, дальше Северная область - имперская фракция"
Ростов-на-Дону,47.23,39.72,1918-08-15,krasnov,empire,"Kenez, Civil War in South Russia (1971)",Донская армия Краснова взяла Ростов 08.05.1918 - Донское казачье государство внутри имперской рамки
Ростов-на-Дону,47.23,39.72,1919-03-01,whites,empire,"Kenez, Civil War in South Russia (1971)",тыл ВСЮР
Ростов-на-Дону,47.23,39.72,1919-08-31,whites,empire,"Kenez, Civil War in South Russia (1977)",тыл ВСЮР в дни похода на Москву
Ростов-на-Дону,47.23,39.72,1920-02-08,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА взяла Ростов 10.01.1920
Екатеринодар,45.04,38.98,1919-06-01,kuban,not_empire,"Kenez, Civil War in South Russia (1977); решение куратора 18.08.2026",Кубанская народная республика: рада вела дело к федерации с Украиной и договору с Горской республикой
Екатеринодар,45.04,38.98,1919-10-15,kuban,not_empire,"Kenez, Civil War in South Russia (1977); решение куратора 18.08.2026",до «кубанского действа» 07.11.1919 Кубань вне империи
Екатеринодар,45.04,38.98,1920-03-20,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА взяла Екатеринодар 17.03.1920
Царицын,48.71,44.51,1919-08-31,whites,empire,"Kenez, Civil War in South Russia (1977)",Врангель взял Царицын 30.06.1919 - имперская фракция
Царицын,48.71,44.51,1920-02-08,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА вернула Царицын 03.01.1920
Грозный,43.31,45.69,1919-06-01,whites,empire,"Kenez, Civil War in South Russia (1977)",белые взяли Грозный 05.02.1919; эмират Узун-Хаджи начнётся в сентябре
Владикавказ,43.03,44.68,1920-05-08,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА в Владикавказе 30.03.1920
Темир-Хан-Шура,42.83,47.12,1918-10-10,gorskaya,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)","Горская республика с 11.05.1918, осенью 1918 - османы и Бичерахов"
Темир-Хан-Шура,42.83,47.12,1919-10-15,whites,empire,"Kenez, Civil War in South Russia (1977)",деникинцы взяли Темир-Хан-Шуру 23.05.1919 и разогнали горское правительство
Тбилиси,41.72,44.79,1918-03-02,transcaucasia,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",Закавказский комиссариат не признал Совнарком
Тбилиси,41.72,44.79,1919-06-01,georgia,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",Грузинская демократическая республика с 26.05.1918
Тбилиси,41.72,44.79,1919-10-15,georgia,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",Грузинская демократическая республика
Тбилиси,41.72,44.79,1920-11-17,georgia,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",независимость до 25.02.1921
Тбилиси,41.72,44.79,1921-02-25,bolsheviks,empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",РККА в Тбилиси 25.02.1921
Баку,40.41,49.87,1918-03-02,azerbaijan,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)","Бакинская коммуна 25.04-31.07.1918 - анклав, зонной моделью не рисуется (реш. куратора об анклавах)"
Баку,40.41,49.87,1919-10-15,azerbaijan,not_empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",АДР с 28.05.1918
Баку,40.41,49.87,1920-05-08,bolsheviks,empire,"Kazemzadeh, The Struggle for Transcaucasia (1951)",советизация Баку 28.04.1920
Ереван,40.18,44.51,1920-11-01,armenia,not_empire,"Hovannisian, The Republic of Armenia (1971-1996)",Республика Армения до 02.12.1920
Ереван,40.18,44.51,1920-12-02,bolsheviks,empire,"Hovannisian, The Republic of Armenia (1971-1996)",советизация Армении 02.12.1920
Симферополь,44.95,34.11,1918-02-01,crimean_pr,not_empire,"ГВЭ 2010; Курултай 13.12.1917","Крымская народная (татарская) республика; большевики заняли город 14(27).01.1918, но зона меняется срезом 08.02.1918"
Симферополь,44.95,34.11,1919-09-01,whites,empire,"Kenez, Civil War in South Russia (1977)",белые вернули Крым 24.06.1919 - ВСЮР, имперская фракция
Симферополь,44.95,34.11,1920-06-01,vrangel,empire,"ГВЭ 2010, Русская армия Врангеля",Врангель - белые, а значит империя
Симферополь,44.95,34.11,1920-12-01,bolsheviks,empire,"Директивы командования фронтов РККА, т. 3",Крым красный после эвакуации 13-16.11.1920
Севастополь,44.60,33.56,1918-06-01,germans,not_empire,"ГВЭ 2010; Брестский мир","немцы вошли в Крым 18.04.1918, Севастополь 01.05.1918 - другая держава"
Самара,53.20,50.15,1918-08-15,komuch,empire,"Smele, Civil War in Siberia (1996)",Комуч взял Самару 08.06.1918 - «учредиловцы» спорят за ту же империю
Самара,53.20,50.15,1918-11-15,bolsheviks,empire,"Директивы командования фронтов РККА, т. 1",РККА вернула Самару 07.10.1918
Казань,55.79,49.11,1918-08-15,komuch,empire,"Smele, Civil War in Siberia (1996)",Каппель и чехословаки взяли Казань 07.08.1918
Казань,55.79,49.11,1918-10-10,bolsheviks,empire,"Директивы командования фронтов РККА, т. 1",РККА вернула Казань 10.09.1918
Оренбург,51.77,55.10,1918-08-15,dutov,empire,"Smele, Civil War in Siberia (1996)",Дутов взял Оренбург 03.07.1918 - казачья имперская фракция
Оренбург,51.77,55.10,1919-02-06,bolsheviks,empire,"Директивы командования фронтов РККА, т. 1",РККА взяла Оренбург 22.01.1919
Темясово,52.94,58.19,1918-08-15,bashkir,not_empire,"Валидов, «Воспоминания»; постановление Башревкома 21.02.1919","Малая Башкирия правительства Валидова; 18.02.1919 башкирские части перешли к советам"
Уфа,54.74,55.97,1919-04-20,kolchak,empire,"Smele, Civil War in Siberia (1996)","Колчак взял Уфу 13.03.1919; Уфа вне рамки Малой Башкирии - её держали Комуч и Колчак"
Пермь,58.01,56.25,1919-04-20,kolchak,empire,"Smele, Civil War in Siberia (1996)",пермская катастрофа 25.12.1918
Пермь,58.01,56.25,1919-07-20,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА вернула Пермь 01.07.1919
Екатеринбург,56.84,60.61,1918-11-15,kolchak,empire,"Smele, Civil War in Siberia (1996)","чехословаки взяли Екатеринбург 25.07.1918; Пермская губерния - не Сибирь, окно самостоятельности её не задевает"
Екатеринбург,56.84,60.61,1919-04-20,kolchak,empire,"Smele, Civil War in Siberia (1996)",тыл Колчака
Екатеринбург,56.84,60.61,1919-07-20,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА взяла Екатеринбург 14.07.1919
Челябинск,55.16,61.40,1919-06-25,kolchak,empire,"Smele, Civil War in Siberia (1996)",РККА возьмёт Челябинск только 24.07.1919
