city,lat,lon,date,controller,expected,source,note
Москва,55.75,37.62,1918-08-15,bolsheviks,soviet,"ГВЭ 2010, столица РСФСР",опорная точка: красная во все дни периода
Москва,55.75,37.62,1919-10-15,bolsheviks,soviet,"ГВЭ 2010, столица РСФСР",Деникин дошёл до Орла и повернул
Петроград,59.94,30.31,1919-10-15,bolsheviks,soviet,"ГВЭ 2010, оборона Петрограда 10.1919",Юденич подошёл к Пулково и был отброшен
Вологда,59.22,39.89,1919-06-01,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2 (Северный фронт)",тыл Северного фронта
Вятка,58.60,49.66,1919-04-20,bolsheviks,soviet,"Smele, Civil War in Siberia (1996)",весеннее наступление Колчака до Вятки не дошло
Саратов,51.53,46.03,1918-08-15,bolsheviks,soviet,"ГВЭ 2010",Комуч Саратова не взял
Астрахань,46.35,48.04,1919-10-15,bolsheviks,soviet,"Kenez, Civil War in South Russia (1971)",XI армия удержала Астрахань
Тула,54.19,37.62,1919-10-15,bolsheviks,soviet,"Kenez, Civil War in South Russia (1977)",тыл Южного фронта в дни орловско-кромского боя
Орёл,52.97,36.07,1919-10-15,whites,not_soviet,"Kenez, Civil War in South Russia (1977); атлас УІФ розд. 44",Орёл взят 13.10.1919 - предел похода Деникина на Москву
Киев,50.45,30.52,1918-03-02,germans,not_soviet,"data/events/ukraina_1917_1921/draft_events.csv",немцы в Киеве 01.03.1918
Киев,50.45,30.52,1919-02-06,bolsheviks,soviet,"data/events/ukraina_1917_1921/draft_events.csv",взятие Киева 05.02.1919
Харьков,49.99,36.23,1919-07-20,whites,not_soviet,"data/events/ukraina_1917_1921/draft_events.csv",Май-Маевский взял Харьков 24.06.1919
Одесса,46.48,30.73,1920-02-08,bolsheviks,soviet,"data/events/ukraina_1917_1921/draft_events.csv",РККА в Одессе 07.02.1920
Минск,53.90,27.56,1918-03-02,germans,not_soviet,"ГВЭ 2010; Брестский мир",немцы взяли Минск 21.02.1918
Минск,53.90,27.56,1918-06-10,germans,not_soviet,"ГВЭ 2010",немецкая оккупация до декабря 1918
Минск,53.90,27.56,1919-10-15,poles,not_soviet,"Директивы командования фронтов РККА, т. 2 (Западный фронт)",поляки взяли Минск 08.08.1919
Минск,53.90,27.56,1920-11-01,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 3",РККА вернулась в Минск 11.07.1920
Брест,52.10,23.69,1920-11-17,poles,not_soviet,"прелиминарный Рижский договор 12.10.1920",Западная Беларусь за Польшей
Гомель,52.43,30.99,1919-06-01,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",восточная Беларусь красная после ухода немцев
Кишинёв,47.01,28.86,1918-06-10,romania,not_soviet,"ГВЭ 2010; акт Сфатул Цэрий 27.03.1918",румынские войска в Кишинёве 13.01.1918
Псков,57.82,28.33,1918-06-10,germans,not_soviet,"ГВЭ 2010",немцы взяли Псков 25.02.1918
Архангельск,64.54,40.53,1918-08-15,entente,not_soviet,"ГВЭ 2010; Северная область",десант Антанты 02.08.1918
Архангельск,64.54,40.53,1919-10-15,entente,not_soviet,"ГВЭ 2010; Северная область",Северная область до февраля 1920
Архангельск,64.54,40.53,1920-03-20,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА в Архангельске 21.02.1920
Мурманск,68.97,33.09,1919-06-01,entente,not_soviet,"ГВЭ 2010",десант Антанты 06.03.1918
Ростов-на-Дону,47.23,39.72,1918-08-15,whites,not_soviet,"Kenez, Civil War in South Russia (1971)",Донская армия Краснова взяла Ростов 08.05.1918
Ростов-на-Дону,47.23,39.72,1919-03-01,whites,not_soviet,"Kenez, Civil War in South Russia (1971)",тыл ВСЮР
Ростов-на-Дону,47.23,39.72,1919-08-31,whites,not_soviet,"Kenez, Civil War in South Russia (1977)",тыл ВСЮР в дни похода на Москву
