city,lat,lon,date,expected,phase,source,note
Славянск,48.8523,37.6058,2014-05-01,empire,апрель-июнь 2014,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 52",ОБЯЗАТЕЛЬНАЯ проверка куратора. город занят 12.04.2014 группой под командой Игоря Гиркина
Славянск,48.8523,37.6058,2014-08-01,not_empire,июль 2014,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 66",ОБЯЗАТЕЛЬНАЯ проверка куратора. город возвращён 05.07.2014 - выступ обязан исчезнуть
Мариуполь,47.0958,37.5500,2014-05-01,empire,апрель-июнь 2014,"УВКПЧ ООН, доклад о положении с правами человека в Украине от 15.06.2014, п. 189",ОБЯЗАТЕЛЬНАЯ проверка куратора. горсовет занят 13.04.2014
Мариуполь,47.0958,37.5500,2014-07-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,ОБЯЗАТЕЛЬНАЯ проверка куратора. город очищен 13.06.2014
Лисичанск,48.9173,38.4286,2014-06-01,empire,май-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,ОБЯЗАТЕЛЬНАЯ проверка куратора. занят 22.05.2014
Лисичанск,48.9173,38.4286,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,ОБЯЗАТЕЛЬНАЯ проверка куратора. возвращён 24.07.2014
Дебальцево,48.3397,38.3999,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"ОБЯЗАТЕЛЬНАЯ проверка куратора. город под контролем Украины: занят украинскими войсками 28.07.2014, выступ держался до 18.02.2015"
Дебальцево,48.3397,38.3999,2015-03-01,empire,после Дебальцева,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 78-79",ОБЯЗАТЕЛЬНАЯ проверка куратора. украинские войска вышли 18.02.2015
Донецк,48.0159,37.8013,2014-04-20,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Донецк,48.0159,37.8013,2014-06-01,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Донецк,48.0159,37.8013,2014-09-19,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Донецк,48.0159,37.8013,2015-01-01,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Донецк,48.0159,37.8013,2016-01-01,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Донецк,48.0159,37.8013,2020-01-01,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Донецк,48.0159,37.8013,2022-02-01,empire,непрерывно,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51",ОБЯЗАТЕЛЬНАЯ проверка куратора. Донецк занят с 07.04.2014 и ни разу не возвращался
Херсон,46.6401,32.6144,2022-03-01,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"ОБЯЗАТЕЛЬНАЯ проверка куратора. российские войска вошли в город 1 марта, здание горсовета заняли 2 марта"
