city,lat,lon,start,lost,liberated,changes,region,anchor,source,note
Брест,52.0938,23.6852,empire,,,,Беларусь,yes,"опорная точка: Беларусь на этой карте несуверенна непрерывно с 1991 года, а в 2022 году с её территории шло наступление на Киев",в показ не идёт - лежит вне рамки театра
Гомель,52.4239,31.0132,empire,,,,Беларусь,yes,"опорная точка: Беларусь на этой карте несуверенна непрерывно с 1991 года, а в 2022 году с её территории шло наступление на Киев",в показ не идёт - лежит вне рамки театра
Мозырь,52.0495,29.2676,empire,,,,Беларусь,yes,"опорная точка: Беларусь на этой карте несуверенна непрерывно с 1991 года, а в 2022 году с её территории шло наступление на Киев",в показ не идёт - лежит вне рамки театра
Наровля,51.7976,29.5069,empire,,,,Беларусь,yes,"опорная точка: Беларусь на этой карте несуверенна непрерывно с 1991 года, а в 2022 году с её территории шло наступление на Киев",в показ не идёт - лежит вне рамки театра
Пинск,52.1114,26.1025,empire,,,,Беларусь,yes,"опорная точка: Беларусь на этой карте несуверенна непрерывно с 1991 года, а в 2022 году с её территории шло наступление на Киев",в показ не идёт - лежит вне рамки театра
Речица,52.3718,30.3860,empire,,,,Беларусь,yes,"опорная точка: Беларусь на этой карте несуверенна непрерывно с 1991 года, а в 2022 году с её территории шло наступление на Киев",в показ не идёт - лежит вне рамки театра
Авдеевка,48.1339,37.7467,foreign,2014-04-16,2014-07-30,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Амвросиевка,47.7953,38.4798,foreign,,,2014-05-01:empire;2014-06-05:foreign;2014-08-24:empire,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата повторного занятия - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Артёмовск,48.5894,38.0021,foreign,2014-04-12,2014-07-06,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,сегодня Бахмут; дату возврата источники дают в диапазоне 4-6 июля 2014 года
Волноваха,47.6015,37.4934,foreign,2022-03-11,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"город не переходил под контроль вооружённых формирований в 2014 году: бой 22.05.2014 - не взятие, заявление о «взятии» 30.08.2014 не подтверждено. Занят 11.03.2022; на снимке DeepStateMAP от 03.04.2022 город занят"
Горловка,48.3059,38.0028,foreign,2014-04-14,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"Европейский суд по правам человека (§ 297) датирует захват только «началом апреля 2014 года», число - по прессе"
Дебальцево,48.3397,38.3999,foreign,,,2014-04-13:empire;2014-07-28:foreign;2015-02-18:empire,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"взятие украинскими войсками датируют 28 или 29 июля 2014 года; выход украинских войск из города - 18.02.2015, через шесть дней после «Комплекса мер» от 12.02.2015 и на следующий день после резолюции Совета Безопасности ООН 2202 (17.02.2015)"
Дзержинск,48.3970,37.8501,foreign,2014-04-15,2014-07-21,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,сегодня Торецк
Донецк,48.0159,37.8013,foreign,2014-04-07,,,Донецкая область,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 51","в ночь на 7 апреля занято здание областной администрации, 7 апреля объявлена «ДНР»; днём раньше, 6 апреля, начались захваты зданий"
Донецкий аэропорт,48.0686,37.7421,foreign,2015-01-22,,,Донецкая область,yes,"УВКПЧ ООН, 9-й доклад о положении с правами человека в Украине (15.02.2015), п. 33","бои за аэропорт начались 26.05.2014 (ЕСПЧ, § 198) и шли восемь месяцев; Европейский суд по правам человека в пересказе доклада УВКПЧ ставит 21.01.2015 (§ 242), сам доклад - 22.01.2015: расхождение в один день"
Дружковка,48.6199,37.5249,foreign,2014-04-12,2014-07-05,,Донецкая область,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 185",Европейский суд по правам человека называет Дружковку вместе со Славянском и Краматорском в записи о 12.04.2014
Енакиево,48.2305,38.1850,foreign,2014-04-13,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
