acquisition,date,act,city,lat,lon,expect_in_empire,source,note
Новгородская земля,1470-01-01,до капитуляции Новгорода 15.01.1478,Великий Новгород,58.521,31.271,no,"Атлас російського імперіалізму і колоніалізму (УІФ, 2026), розд. 2 і 4-5",негативная проверка: до 1478 это другой субъект - Новгородская республика со своим типом колониализма; вассалом Москвы она стала после Шелони 14.07.1471 но красным её не красим
Новгородская земля,1480-01-01,капитуляция Новгорода 15.01.1478,Великий Новгород,58.521,31.271,yes,ПСРЛ т. 25; ПСРЛ т. 4,первый акт империализма по атласу УІФ: республика ликвидирована владения отошли Москве
Двинская земля (Заволочье),1470-01-01,до капитуляции Новгорода 15.01.1478,Холмогоры,64.226,41.667,no,"Атлас УІФ, розд. 5, п. 10",негативная проверка: дальняя новгородская волость
Двинская земля (Заволочье),1480-01-01,капитуляция Новгорода 15.01.1478,Холмогоры,64.226,41.667,yes,"ПСРЛ т. 25; Атлас УІФ, розд. 5, п. 10",Заволочье приближено Архангельской областью
Вологда и Заозерье,1460-01-01,до Коростынского договора 11.08.1471,Вологда,59.220,39.891,no,"Атлас УІФ, розд. 5, п. 4-5",негативная проверка: по договору 1456 г. Вологда числилась новгородской
Вологда и Заозерье,1475-01-01,Коростынский договор 11.08.1471,Вологда,59.220,39.891,yes,"Грамоты Великого Новгорода и Пскова (1949); Атлас УІФ, розд. 5, п. 4-5",проверка среза Шелони: Вологда красная за семь лет до самого Новгорода
Великое княжество Тверское,1480-01-01,до сдачи Твери 12.09.1485,Тверь,56.859,35.912,no,ПСРЛ т. 25,негативная проверка: независимое государство до 1485 г.
Великое княжество Тверское,1490-01-01,сдача Твери 12.09.1485,Тверь,56.859,35.912,yes,"ПСРЛ т. 25; Атлас УІФ, розд. 5, п. 18",
Вятская земля,1480-01-01,до похода на Хлынов 16.08.1489,Киров (Хлынов),58.604,49.668,no,"Атлас УІФ, розд. 5, п. 19",негативная проверка: с 1485 г. фактически самостоятельная республика
Вятская земля,1490-01-01,взятие Хлынова 16.08.1489,Киров (Хлынов),58.604,49.668,yes,"ПСРЛ т. 25; Атлас УІФ, розд. 5, п. 19",республиканское устройство ликвидировано верхушка выведена в 1490 г.
Псковская земля,1500-01-01,до 13.01.1510,Псков,57.819,28.332,no,ПСРЛ т. 5 (Псковские летописи),негативная проверка: Псков отделился от Новгорода мирно в 1348 г. и до 1510 г. был отдельной республикой
Псковская земля,1515-01-01,упразднение Псковской республики 13.01.1510,Псков,57.819,28.332,yes,ПСРЛ т. 5 (Псковские летописи),геометрия - контур Пскова из файла источника 1500 г.
Великое княжество Рязанское,1515-01-01,до присоединения 1521 г.,Рязань,54.629,39.736,no,ПСРЛ т. 8; ПСРЛ т. 13,негативная проверка: у источника Рязань отдельная фича и в 1492 и в 1500 г.
Великое княжество Рязанское,1525-01-01,присоединение Рязани 1521 (месяц условный),Рязань,54.629,39.736,yes,ПСРЛ т. 8; ПСРЛ т. 13,"источник в срезе 1530 г. отдаёт Рязань Ногайской орде - шум обзорного контура, приобретение его перекрывает"
Начало покрытия (рамка),1450-01-01,-,Москва,55.755,37.617,yes,"Атлас УІФ, розд. 3 «Піднесення Москви»",рамка: с 1450 г. карта обязана отвечать - раньше покрытие начиналось с 1500 г.
Начало покрытия (рамка),1450-01-01,-,Великий Новгород,58.521,31.271,no,"Атлас УІФ, розд. 2 «Новгородський тип колоніалізму»",рамка: на первом же срезе новгородская земля обязана быть чёрной
Казанское ханство,1540-06-01,до взятия Казани,Казань,55.796,49.106,no,Худяков М. Очерки по истории Казанского ханства,негативная проверка: до 1552 Казань не империя
Казанское ханство,1553-10-02,взятие Казани 02.10.1552,Казань,55.796,49.106,yes,ПСРЛ т. 13 (Никоновская летопись); Худяков М. Очерки по истории Казанского ханства,первое завоевание некоторого ханства - точка отсчёта колониальной экспансии
Астраханское ханство,1557-06-01,взятие Астрахани 1556,Астрахань,46.348,48.033,yes,ПСРЛ т. 13; Зайцев И.В. Астраханское ханство,выход на Каспий
Западная Сибирь,1588-06-01,основание Тобольска 1587 после похода Ермака 1582,Тобольск,58.199,68.254,yes,"Сибирские летописи (Есиповская, Ремезовская); Миллер Г.Ф. История Сибири","Сибирское ханство уничтожено, на Иртыше поставлен острог"
Ленский край,1633-06-01,Якутский острог 1632,Якутск,62.028,129.732,no,Миллер Г.Ф. История Сибири; ДАИ т. 2,"ОСТРОГ - НЕ ЗАХВАТ (решение куратора 28.08.2026). Якуты подняли семь антиколониальных восстаний, последнее 1683-1684; сам источник называет 1632 год УСЛОВНОЙ датой вхождения. Красное приходит с 1684 года, а на месте острога до того стоит точка слоя ostrog. Строка оставлена сторожем, чтобы дата снова не уехала на основание избы. Разбор - data/crosscheck/siberia_control_vs_act.md"
Охотское побережье,1648-06-01,Косой острожек (Охотск) 1647,Охотск,59.363,143.243,yes,Миллер Г.Ф. История Сибири; отписки И. Москвитина и С. Шелковникова,выход к Тихому океану
Левобережье,1655-06-01,Переяславская рада 08(18).01.1654,Чернигов,51.494,31.294,yes,Акты ЮЗР т. 10; Переяславские статьи 1654,вход Войска Запорожского в подданство
Урянхайский край (Тува),1660-06-01,до протектората 1914,Кызыл,51.719,94.438,no,Белоглазов А. Урянхайский вопрос,источник рисует Урянхай внутри Московского царства в срезах 1650 и 1700 - шум обзорного контура
Левобережье,1668-06-01,Андрусовское перемирие 30.01.1667,Полтава,49.589,34.551,yes,ПСЗРИ т. 1 № 398 (Андрусовское перемирие),Левобережье закреплено за Москвой
Киев,1687-06-01,Вечный мир с Речью Посполитой 06.05.1686,Киев,50.450,30.523,yes,ПСЗРИ т. 2 № 1186 (Вечный мир 1686),Киев уступлен Москве навсегда за 146 тыс. рублей
Урянхайский край (Тува),1710-06-01,до протектората 1914,Кызыл,51.719,94.438,no,Белоглазов А. Урянхайский вопрос,тот же шум источника в срезе 1700
