place,lat,lon,date,expect,row,note
Москва,55.7558,37.6176,1812-10-01,not_empire,napoleon-1812,ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА: армия вошла 14.09.1812
Москва,55.7558,37.6176,1812-12-01,empire,,ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА: город оставлен 19.10.1812
Москва,55.7558,37.6176,1812-09-01,empire,,до входа 14.09.1812 город за империей
Вильнюс,54.6870,25.2800,1812-08-01,not_empire,napoleon-1812,Вильна занята 28.06.1812
Вильнюс,54.6870,25.2800,1813-01-01,empire,,Вильна оставлена 10.12.1812
Гродно,53.6700,23.8300,1812-10-01,not_empire,napoleon-1812,в том же куске что и Вильна
Минск,53.9000,27.5670,1812-09-01,not_empire,napoleon-1812,Минск занят 08.07.1812
Минск,53.9000,27.5670,1812-12-01,empire,,Минск возвращён 16.11.1812
Витебск,55.1900,30.2000,1812-09-01,not_empire,napoleon-1812,Витебск занят 28.07.1812
Витебск,55.1900,30.2000,1812-11-05,empire,,Витебск возвращён 26.10.1812
Смоленск,54.7820,32.0450,1812-10-01,not_empire,napoleon-1812,Смоленск занят 18.08.1812
Смоленск,54.7820,32.0450,1812-08-01,empire,,до 18.08.1812 город за империей
Смоленск,54.7820,32.0450,1813-01-01,empire,,оставлен 17.11.1812
Малоярославец,55.0100,36.4700,1812-10-25,empire,napoleon-1812,contested не вырезает: город удержан
Тула,54.1900,37.6200,1812-10-01,empire,,в стороне от пути движения
Калуга,54.5300,36.2800,1812-10-01,empire,,в стороне от пути движения
Рига,56.9500,24.1100,1812-10-01,empire,,Курляндию в вырез не заводили и Рига осталась за империей
Севастополь-южная сторона,44.5800,33.5200,1856-01-01,not_empire,sevastopol-1855,ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА
Севастополь-южная сторона,44.5800,33.5200,1856-06-01,empire,,ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА: Парижский договор 30.03.1856
Севастополь-южная сторона,44.5800,33.5200,1855-01-01,empire,,до 09.09.1855 южная сторона за империей
Севастополь-северная сторона,44.6500,33.5500,1856-01-01,empire,,северную сторону союзники не занимали
Керчь,45.3600,36.4700,1856-01-01,not_empire,kerch-1855,десант 24.05.1855
Керчь,45.3600,36.4700,1855-05-01,empire,,до десанта 24.05.1855
Керчь,45.3600,36.4700,1856-06-01,empire,,Парижский договор 30.03.1856
Симферополь,44.9500,34.1000,1856-01-01,empire,,вглубь Крыма союзники не пошли
Одесса,46.4800,30.7300,1856-01-01,empire,,бомбардировка 1854 года десантом не кончилась
Кинбурн,46.5100,31.5000,1856-01-01,not_empire,kinburn-1855,коса в обзорный контур срезов не попадает
Петропавловский порт,53.0200,158.6500,1854-09-01,empire,petropavlovsk-1854,нападение отбито: contested не вырезает
Бомарсунд,60.2100,20.2300,1854-08-20,not_empire,bomarsund-1854,Аланды в обзорный контур срезов не попадают
Гельсингфорс,60.1500,24.9800,1854-08-20,empire,,Свеаборг устоял
Владивосток,43.1200,131.8900,1905-09-01,empire,,ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА
Корсаков,46.6300,142.7900,1905-09-01,not_empire,sakhalin-1905,ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА: десант 07.07.1905
Корсаков,46.6300,142.7900,1905-06-01,empire,,до высадки 07.07.1905
Южно-Сахалинск,46.9600,142.7400,1905-10-01,not_empire,,после Портсмута юг показывает срез ядра а не слой потерь
Александровск-Сахалинский,50.9000,142.1600,1905-09-01,not_empire,sakhalin-1905,высадка на севере 24.07.1905
Александровск-Сахалинский,50.9000,142.1600,1905-11-01,empire,,север по Портсмутскому договору возвращён
Николаевск-на-Амуре,53.1400,140.7300,1905-09-01,empire,,материк рамкой Сахалина не задет
Хабаровск,48.4800,135.0800,1905-09-01,empire,,материк рамкой Сахалина не задет
