place,lat,lon,date,expect,why,source,note
Варшава,52.232,21.006,1945-08-01,none,"стык с ВМВ: занятую Европу до 31.12.1945 ведёт ядро, сфера молчит","tools/build_ww2.py, раздел README «Стык с послевоенным»",
Лейпциг,51.34,12.375,1945-08-01,none,то же по будущей советской зоне Германии,tools/build_ww2.py,
Варшава,52.232,21.006,1946-06-01,occupation,с 01.01.1946 оккупацию подхватывает сфера — провала быть не должно,data/sphere/registry.csv,
Лейпциг,51.34,12.375,1946-06-01,occupation,то же,data/sphere/registry.csv,
Варшава,52.232,21.006,1947-01-18,occupation,последний день до выборов 19.01.1947,data/sphere/registry.csv,
Варшава,52.232,21.006,1947-01-20,bloc,после выборов 19.01.1947 — монополия ППР,data/sphere/registry.csv,
Варшава,52.232,21.006,1993-09-19,none,вывод Северной группы войск завершён 18.09.1993,"Washington Post, 19.09.1993",
Варшава,52.232,21.006,1992-06-01,client_military,"ОВД распущена, войска ещё на территории","Washington Post, 19.09.1993",Хвост присутствия — рамка на подтверждение куратором.
Лейпциг,51.34,12.375,1949-10-06,occupation,последний день до провозглашения ГДР,data/sphere/registry.csv,
Лейпциг,51.34,12.375,1949-10-08,bloc,ГДР провозглашена 07.10.1949,data/sphere/registry.csv,
Лейпциг,51.34,12.375,1990-10-04,client_military,"решение куратора 28.08.2026: Западная группа войск остаётся на востоке объединённой Германии по договору 12.10.1990, вывод завершён 31.08.1994 - по критерию «войска на земле» это тот же случай, что Северная группа войск в Польше и ЦГВ в Чехословакии","Washington Post, 25.09.1990",ЗГВ стояла до 31.08.1994 — вопрос вынесен в disputed.csv.
Прага,50.088,14.421,1968-08-20,bloc,последний день до вторжения,en.wikipedia.org/wiki/Warsaw_Pact_invasion_of_Czechoslovakia,
Прага,50.088,14.421,1968-08-22,intervention,вторжение ОВД в ночь на 21.08.1968,"Stanford, Tomz collection 0346-1968-11-KS-a-EYJ",
Прага,50.088,14.421,1968-11-01,bloc,договор о временном пребывании 16.10.1968 закрыл окно интервенции,"Stanford, Tomz collection",
Прага,50.088,14.421,1947-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","FRUS 1945, vol. IV, doc. 504",
Прага,50.088,14.421,1991-06-22,none,последний эшелон ЦГВ ушёл 21.06.1991,english.radio.cz,
