city,lat,lon,date,expected,phase,source,note
Берлин,52.52,13.405,1914-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Берлин,52.52,13.405,1915-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Берлин,52.52,13.405,1916-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Берлин,52.52,13.405,1917-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Вена,48.2082,16.3738,1914-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Вена,48.2082,16.3738,1915-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Вена,48.2082,16.3738,1916-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Вена,48.2082,16.3738,1917-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Будапешт,47.4979,19.0402,1914-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Будапешт,47.4979,19.0402,1915-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Будапешт,47.4979,19.0402,1916-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Будапешт,47.4979,19.0402,1917-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Константинополь,41.0082,28.9784,1914-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Константинополь,41.0082,28.9784,1915-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Константинополь,41.0082,28.9784,1916-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Константинополь,41.0082,28.9784,1917-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Бухарест,44.4268,26.1025,1914-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Бухарест,44.4268,26.1025,1915-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Бухарест,44.4268,26.1025,1916-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Бухарест,44.4268,26.1025,1917-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Стокгольм,59.3293,18.0686,1914-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Стокгольм,59.3293,18.0686,1915-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Стокгольм,59.3293,18.0686,1916-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Стокгольм,59.3293,18.0686,1917-10-01,not_empire,контроль вне модели,российские войска в город не входили,
Петроград,59.9311,30.3609,1914-10-01,empire,глубокий тыл,"фронт до города не доходил: линия осени 1915 г. (Зайончковский, т. 1, с. 825-826), линия июля 1917 г. (т. 2, с. 135)",
Петроград,59.9311,30.3609,1915-10-01,empire,глубокий тыл,"фронт до города не доходил: линия осени 1915 г. (Зайончковский, т. 1, с. 825-826), линия июля 1917 г. (т. 2, с. 135)",
Петроград,59.9311,30.3609,1916-10-01,empire,глубокий тыл,"фронт до города не доходил: линия осени 1915 г. (Зайончковский, т. 1, с. 825-826), линия июля 1917 г. (т. 2, с. 135)",
