city,lat,lon,start,changes,theatre,anchor,source,note
Сталлупенен,54.6333,22.5667,foreign,1914-08-04:empire;1914-09-01:foreign;1914-09-22:empire;1915-01-21:foreign,север,yes,SO1 гл.III (бой у Сталюпенена); Z1 с.109-110,"н.ст. 17.08/14.09/05.10/03.02.1915; занят 1-й армией в день перехода границы; уход ~01.09 – по общему ходу кампании (не по прямому упоминанию); 22.09 – приказ занять линию Сталлупенен-Сувалки-Райгород к вечеру (SO2 л.1944); окончат. потеря в Зимнюю операцию – день вычислен из хода отхода Вержболовской группы, точный час не найден"
Гумбинен,54.5947,22.1994,foreign,1914-08-07:empire;1914-09-01:foreign,север,yes,SO1 гл.III с.113-116 (Гумбинен-Гольдапское сражение); Z1 с.113-116,"н.ст. 20.08/14.09; занята к исходу 4-дневной операции 1 армии; дата ухода – по общему отходу 1 армии после Мазурского сражения, не найдена по дням"
Инстербург,54.6333,21.8167,foreign,1914-08-07:empire;1914-09-01:foreign,север,yes,SO1 гл.III с.112 («занятием линии Инстербург-Ангербург задача 1 армии... выполнена»),"н.ст. 20.08/14.09; уверенность по занятию высокая (документ), по уходу – средняя/низкая (день не найден, вычислен по общему отходу)"
Тильзит,55.0833,21.8833,foreign,1914-08-10:empire;1914-09-01:foreign,север,yes,"SO1 (упоминания на фронте наступления 1 армии, с.112-116, точный день не выписан)","низкая уверенность: день занятия не найден, дан по общему ходу наступления 1 армии; н.ст. 23.08/14.09"
Пилькаллен,54.7700,22.5100,foreign,1914-08-05:empire;1914-09-01:foreign,север,yes,SO1 гл.III (на пути наступления 1 армии между Сталлупененом и Гумбиненом),"координаты поправлены картографом 19.09: у розыскника точка стояла в Литве; Пилькаллен (Шлоссберг, ныне Добровольск)"
Даркемен,54.4064,22.0169,foreign,1914-08-08:empire;1914-09-01:foreign,север,yes,SO1 с.115 (ещё герм. тыловой пункт 19.08 н.ст.=06.08 ст.ст.),"средняя: 06.08 ст.ст. ещё за немцами (оттуда выступал XVII корпус), занят русскими после Гумбиненского сражения; день ухода не найден"
Гольдап,54.3100,22.3050,foreign,1914-08-07:empire;1914-09-01:foreign,север,yes,SO1/Z1 с.113-116 (Гумбинен-Гольдапское сражение),"н.ст. 20.08/14.09; часть сражения при Гумбинене; день ухода не найден, дан по общему отходу"
Ангербург,54.2167,21.7333,foreign,1914-08-07:empire;1914-09-01:foreign,север,yes,SO1 с.112 (линия Инстербург-Ангербург),"н.ст. 20.08/14.09; день ухода не найден, дан по общему отходу 1 армии"
Лык,53.8167,22.3667,foreign,1914-08-15:empire;1914-09-01:foreign,север,yes,"SO1 с.88-92 (район Летцен-Иоганнисбург-Лык, 2 армия)","низкая: день занятия не выписан документом, оценён по ходу движения II корпуса; к сент. 1914 уже снова в germ. тылу (SO1 с.-- Олецко-Лык)"
Иоганнисбург,53.6333,21.7667,foreign,1914-08-09:empire;1914-08-15:foreign,север,yes,"SO1 с.19 («II к. занял Иоганнисбург» 9(22).08, 16 стр.52)","высокая по занятию (документ, день); по уходу – средняя, оценка на период разгрома 2 армии 15(28).08"
Алленштейн,53.7784,20.4801,foreign,1914-08-14:empire;1914-08-16:foreign,север,yes,SO1 с.88 («занятием без боя Алленштейна XIII к.» 14(27).08); с.92 (XI к. выступил из Алленштейна 15(28).08),высокая: занятие и уход по дням расписаны документом (SO1 гл. о боях 14-15 августа)
Нейденбург,53.3625,20.4283,foreign,1914-08-09:empire;1914-08-15:foreign,север,yes,"SO1 с.19 (занят XV к. 9(22).08), с.92-96 (немцы заняли линию Нейденбург веч. 15(28).08)","высокая, почасовая роспись; в ночь на 17(30).08 в 21ч. кратковременно вновь занят частями I рус. корпуса (попытка выручить окружённых), к вечеру 18(31).08 оставлен окончательно – трактуем как рейд-эпизод, не смена стороны (аналог Мемеля), в changes не включено"
