city,lat,lon,start,lost,liberated,changes,theatre,anchor,fronts,source,note
Айзенштадт,47.8500,16.5200,foreign,,1945-04-01,,Австрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Амштеттен,48.1200,14.8700,foreign,,1945-05-08,,Австрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Вена,48.2082,16.3738,foreign,,1945-04-13,,Австрия,yes,,https://ru.wikipedia.org/wiki/Венская_наступательная_операция,3-й Украинский фронт; советская зона оккупации Австрии - до 1955
Винер-Нойштадт,47.8121,16.2456,foreign,,1945-04-02,,Австрия,yes,,https://de.wikipedia.org/wiki/Wiener_Operation,Сдан без сопротивления в начале Венской операции
Грац,47.0707,15.4395,foreign,,1945-05-09,,Австрия,yes,,https://bik.lbg.ac.at/forschung/programmlinie-weltkriege/rote/?lang=en,"57-я армия 3-го Украинского фронта в ночь на 9 мая; последняя из земельных столиц Австрии,  занятая союзниками"
Санкт-Пёльтен,48.2000,15.6200,foreign,,1945-04-15,,Австрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Бургас,42.5048,27.4626,foreign,,1944-09-09,,Болгария,yes,,https://www.mediapool.bg/8-septemvri-1944-g-savetskite-voiski-okupirat-bulgaria-news224591.html,К исходу 9 сентября советские войска вышли на рубеж Русе-Разград-Тырговиште-Бургас
Варна,43.2141,27.9147,foreign,,1944-09-09,,Болгария,yes,,https://www.mediapool.bg/8-septemvri-1944-g-savetskite-voiski-okupirat-bulgaria-news224591.html,Черноморский флот; занята практически без боёв
Пловдив,42.1354,24.7453,foreign,,1944-09-09,,Болгария,yes,,https://bg.wikipedia.org/wiki/%D0%94%D0%B5%D0%B2%D0%B5%D1%82%D0%BE%D1%81%D0%B5%D0%BF%D1%82%D0%B5%D0%BC%D0%B2%D1%80%D0%B8%D0%B9%D1%81%D0%BA%D0%B8_%D0%BF%D1%80%D0%B5%D0%B2%D1%80%D0%B0%D1%82,Занят в дни всеобщего продвижения советских войск после капитуляции без боёв; точный час в источниках не детализирован
Русе,43.8564,25.9708,foreign,,1944-09-08,,Болгария,yes,,https://www.mediapool.bg/8-septemvri-1944-g-savetskite-voiski-okupirat-bulgaria-news224591.html,Дунайский порт; первый крупный город на пути советских войск
