city,lat,lon,start,start_day,end_day,changes,theatre,anchor,source,note
Таллин,59.4370,24.7536,empire,,,1918-02-25:foreign,балтия,yes,Директивы Главкома (1969) док.№10/21 с.29 (верхняя граница «к 1 марта»); Тартуский мирный договор 1920 ст.XI (24.02 — дата провозглашения независимости); et.wiki,"подтверждено документом (верхняя граница); точный день 25.02 — по et.wiki, не в противоречии; трактат называет 24.02 как ПОЛИТИЧЕСКУЮ дату (провозглашение независимости), это не то же самое, что физический вход войск в город | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Тарту,58.3780,26.7290,empire,,,1918-02-24:foreign;1918-12-21:empire;1919-01-14:foreign,балтия,yes,"Директивы Главкома с.29 (герм.оккупация, верхняя граница); DIGAR Tallinna Teataja/Waba Maa/Päewaleht 23.12.1918 (взятие красными, дата ИЗМЕНЕНА); директивы №180(12.01) и №739ш(26.01) (бракетируют освобождение)","24.02 подтверждено документом (верхняя граница); 21.12 ДОКУМЕНТ ДАЁТ ДРУГУЮ ДАТУ — было 24.12 (en.wiki 'Christmas Eve'), три газеты от 23.12.1918 сообщают о падении, Tallinna Teataja прямо называет день недели 'суббота' = 21.12.1918 (проверено независимо календарём); 14.01 бракетировано документом (12.01 ещё наш, 26.01 уже цель), точный день — вики | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Нарва,59.3733,28.1903,empire,,,1918-03-04:foreign;1918-11-29:empire;1919-01-19:foreign,балтия,yes,"et.wiki (04.03); DIGAR Tallinna Teataja 29-30.11.1918 + Декреты сов.власти т.4 с.157 (29.11); директива №316/оп 20.01.1919 (19.01, косвенно)","04.03 документа не найдено (только et.wiki); 29.11 подтверждено документом (период.печать, уточнено — вечер/ночь 29.11, утром город ещё держался); 19.01.1919 вики + косвенно документ (директива от 20.01 говорит об отступлении ЗА Нарову как о факте) | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Пярну,58.3859,24.4971,empire,,,1918-02-24:foreign,балтия,yes,"et.wiki Saksa okupatsioon Eestis; Директивы Главкома (доп. подтверждение негативного факта — №149 нач.янв.1919, №156 20.01.1919)",дата герм.оккупации — документа не найдено (только et.wiki); негативный факт (не взят в 1918/19) подтверждён ДВУМЯ документами сверх прежнего | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md
Вильянди,58.3639,25.5900,empire,,,1918-02-25:foreign,балтия,yes,"et.wiki Saksa okupatsioon Eestis; Директивы Главкома (доп. — директива армии Латвии 26.01.1919, «феллинское направление»)",дата герм.оккупации — документа не найдено (только et.wiki); негативный факт подтверждён документом сверх прежнего | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md
Раквере,59.3467,26.3556,empire,,,1918-02-27:foreign;1918-12-01:empire;1919-01-12:foreign,балтия,yes,"en.wiki Estonian War of Independence; DIGAR Rahvaleht 24.02.1918 (слух, не факт); Директивы Главкома (доклад ~9.01.1919, «Тапса, Везенберга и Нарвы»)","27.02 документа не найдено напрямую (найден СЛУХ от 24.02.1918 в большевистской газете Rahvaleht о герм. авангарде уже в Раквере — источник сам называет это слухом, дату не меняю, но диапазон возможно шире); 01.12 и 12.01 документа не найдено, только контекст удержания на 9.01.1919 подтверждён | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Хаапсалу,58.9433,23.5406,empire,,,1918-02-24:foreign,балтия,yes,"DIGAR Postimees 22-23.02.1918 (опровержение слуха), Sakala 24.02.1918 (первое сообщение как факт), Postimees 02.03.1918 (полный нарратив десанта Лихула-Гапсаль-Вормси)","ДОКУМЕНТ ДАЁТ ДРУГУЮ ДАТУ: было 20-23.02 (диапазон), стало 24.02-02.03 (диапазон); дата 22.02 ПРЯМО ОПРОВЕРГНУТА документом (Postimees 23.02: «Гапсаль НЕ в руках немцев» со ссылкой на телеграмму от 22.02); первое сообщение как факт — 24.02 (Sakala); полный нарратив морского десанта через Лихулу — только к 02.03; точный день внутри 24.02-02.03 не закрыт | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Валга,57.7737,26.0271,empire,,,1918-02-22:foreign;1918-12-18:empire;1919-01-31:foreign,балтия,yes,"DIGAR Postimees:Pärnu väljaanne 22-23.02.1918 (герм.оккупация, точная дата); DIGAR Päewaleht 21.12.1918 (нарратив взятия красными); en.wiki EWI; et.wiki","22.02 ПОДТВЕРЖДЕНО документом (телеграфное сообщение «eila»=вчера=22.02, опубл. 23.02); 18.12 найден развёрнутый газетный нарратив взятия (Päewaleht 21.12, «Kudas Walk enamlaste kätte jäi»), но точное число не извлечено из доступного сниппета — де-факто дата держится на вики, событие же подтверждено периодической печатью; 31.01.1919 документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Цесис,57.3119,25.2747,empire,,,1918-02-20:foreign;1918-12-23:empire;1919-05-31:foreign,балтия,yes,"lv.wiki Latvijas brīvības cīņas; et.wiki Vabadussõda; Директивы Главкома (доклад ~10.12.1918, «в направлении... Венден, Рига» — контекст)","20.02 документа не найдено; 23.12 контекст усилен (на 10.12.1918 Цесис/Венден ещё направление, не рубеж — совместимо со взятием через 13 дней), точный день — только lv.wiki; 31.05 документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Валмиера,57.5410,25.4260,empire,,,1918-02-22:foreign;1918-12-22:empire;1919-05-30:foreign,балтия,yes,Директивы Главкома док.№18 25.02.1918 с.20 («уже вошли в Вольмар») — НОВОЕ; lv.wiki; et.wiki,"22.02 ПОДТВЕРЖДЕНО документом (верхняя граница «уже» на 25.02, не противоречит дате на 3 дня раньше); 22.12 и 30.05 документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
