people,people_ru,date,from_territory,to_territory,decree,people_count,source,confidence,note
ingermanland_finns,финны-ингерманландцы,1935-03-04,ingermanland,"Карелия, Западная Сибирь, Казахстан",постановление Бюро Ленинградского областного комитета ВКП(б) от 04.03.1935 о перемещении финского населения из приграничья,30 000 семей,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 1",высокая,"атлас даёт число семей, не людей"
poles_germans_ussr,поляки и немцы Украины,1935-01-01,west_ukraine,Сибирь,постановление ЦК КП(б)У от 20.12.1934: «Про переселення з прикордонних районів німецького та польського населення»,9 470 хозяйств (40 000 человек),"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 2",высокая,
poles_germans_ussr_1936,"поляки и немцы Украины, вторая волна",1936-04-28,west_ukraine,Казахстан,постановление СНК СССР от 28.04.1936 № 776-120сс,23 519 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 2",высокая,атлас относит эту волну к «неблагонадёжным элементам»
koreans,корейцы и китайцы,1937-08-21,far_east,"Казахстан, Узбекистан",постановление СНК СССР и ЦК ВКП(б) от 21.08.1937 № 1428-326сс «О выселении корейского населения пограничных районов Дальневосточного края»,36 442 корейских хозяйства (171 700 человек) и около 7 000 китайцев,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 3",высокая,"формальным поводом объявили возможный шпионаж в пользу Японии; операция завершена к концу октября 1937 г., 124 эшелона"
polish_settlers,польские осадники и беженцы,1940-02-10,west_ukraine_belarus,"Архангельская, Свердловская, Новосибирская области, Коми АССР, Красноярский край",постановление СНК СССР от 29.12.1939 № 2122-617сс,309 000 - 380 000 человек за все волны,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 4",высокая,"три волны: 10.02.1940 осадники, 13.04.1940 семьи репрессированных, 29.06.1940 беженцы из центральной Польши"
poles_administrative,административно высланные поляки,1940-04-13,west_ukraine_belarus,Казахстан,постановление СНК СССР от 02.03.1940 № 289-127сс,около 61 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 5",средняя,
murmansk_foreigners,"финны, шведы и норвежцы Мурманской области",1940-07-01,murmansk,"Карело-Финская ССР, Алтайский край",постановление СНК СССР от 23.06.1940 № 1057-418сс,2 540 семей (6 973 человека) и ещё 675 семей (1 743 человека),"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 6",высокая,
west_ukraine_1941,украинцы и поляки Западной Украины,1941-05-22,west_ukraine,"Казахстан, Коми АССР, Сибирь",постановление ЦК ВКП(б) и СНК СССР от 14.05.1941 № 1299-526сс,около 11 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 7",высокая,выселяли объявленных «контрреволюціонерами і націоналістами»
moldova_1941,"жители Молдавской ССР, Измаильской и Черновицкой областей",1941-06-13,moldova,"Казахстан, Коми АССР, Красноярский край, Омская и Новосибирская области",постановление ЦК ВКП(б) и СНК СССР от 14.05.1941 № 1299-526сс,более 30 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 8",высокая,в ночь с 12 на 13 июня 1941 г.
estonians_1941,эстонцы,1941-06-14,estonia,Сибирь,постановление ЦК ВКП(б) и СНК СССР от 14.05.1941 № 1299-526сс,более 10 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 9",высокая,
