segment,seq,place,lat,lon,source,confidence,note
crimea-moscow-1571/approach,1,"Думчий курган, развилка Муравской и Пахнутцевой дорог",51.0330,36.7330,"Книга Большому Чертежу, л. 12: «а Думчей Курган на Муравскои дороге от Донца от Северского верст с пол-30»; Загоровский относит к нему начало Пахнутцевой дороги",средняя,"сам курган на местности не отождествлён, точка взята по Прохоровке"
crimea-moscow-1571/approach,2,"Меловой брод на Сейме",51.5300,36.9800,"Книга Большому Чертежу, л. 34 об.-35 об.: «ниже Семицы Донецкие и Лещина на Семи Меловой брод... проходят теми дорогами с верху Оки реки по Пахнутцовои дороге на Кромы и на Орел»",низкая,"место брода не установлено до сих пор: поиск ведётся годами, единственного варианта нет. Точка условная, район Солнцева"
crimea-moscow-1571/approach,3,"Щигры, водораздел Рати и Щигра",51.8700,36.9000,"А. Куркулев, «Щигровские загадки», ч. 1, со ссылкой на опись РГАДА",средняя,"дорога шла у водораздела рядом с местом будущего города"
crimea-moscow-1571/approach,4,"Кромы, брод Быстрой на реке Кроме",52.6897,35.7675,"ПСРЛ т. 13; Разрядная книга 1475-1598; разбор похода 1571 года (КиберЛенинка): «в реку Кромы блиско устья, от Кром семь верст» был брод Быстрой, через который «лезли татаровя»",высокая,"через этот брод войско перешло Оку"
crimea-moscow-1571/approach,5,"Болхов, Пахнутцева дорога",53.4500,36.0000,"тот же разбор похода: от Кром «двинулся по Пахнутцевой дороге на север к Болхову»; Книга Большому Чертежу описывает выход Пахнутцевой дороги на Кромы и Орёл",высокая,
crimea-moscow-1571/approach,6,"Устье Угры при впадении в Оку",54.5100,36.2600,"разбор похода 1571 года: около 20 мая передовые отряды вышли к устью Угры",высокая,
crimea-moscow-1571/approach,7,"Обход Серпухова с запада",55.1500,37.0000,"разбор похода: «под Кромами орда перелезла Оку и в обход Серпухова, где стоял с опричным войском Иван Грозный, устремилась к Москве»",низкая,"КОНКРЕТНОЙ ДОРОГИ ОБХОДА ИСТОЧНИК НЕ НАЗЫВАЕТ: точка проведена западнее Серпухова по смыслу манёвра"
crimea-moscow-1571/approach,8,"Москва",55.7500,37.6200,"разбор похода: 23 мая главные силы подошли к Москве, ставки в Коломенском и Воробьеве",высокая,
crimea-moscow-1571/retreat-city,1,"Москва",55.7500,37.6200,"разбор похода: 26 мая хан повернул от Москвы назад по рязанской дороге",высокая,
crimea-moscow-1571/retreat-city,2,"Бронницы, рязанская дорога",55.4200,38.2600,"направление рязанской дороги от Москвы на Коломну",низкая,"промежуточная точка дороги, в источнике не названа"
crimea-moscow-1571/retreat-ukraine,1,"Коломна",55.0900,38.7700,"рязанская дорога от Москвы шла через Коломну на Переяславль-Рязанский",средняя,
crimea-moscow-1571/retreat-ukraine,2,"Переяславль-Рязанский",54.6300,39.7400,"разбор похода: отход «по рязанской дороге, подвергнув по пути опустошению юго-восточную украйну»",средняя,
crimea-moscow-1571/retreat-ukraine,3,"Выход в степь южнее Рязани",53.8000,40.1000,"по ханской реляции грабёж занял восемнадцать дней",низкая,"точки ухода за рубеж источник не даёт, конец полосы условный"
crimea-moscow-1521/approach,1,"Вход через рязанские земли",54.3000,40.0000,"Владимирский летописец (Исторические записки, т. 15, 1945, л. 240): «посекли и пленили по Рязанской земли и по Коломенской земли и сюды к Москве»",низкая,"дороги источники не называют; для 1521 года шляхи ещё не поименованы, «Муравский шлях» впервые под 1555 годом"
crimea-moscow-1521/approach,2,"Переяславль-Рязанский",54.6300,39.7400,"тот же летописец: разорение шло по рязанской земле",средняя,
crimea-moscow-1521/approach,3,"Коломна: бой на берегу 27 июля и переправа 28 июля",55.0900,38.7800,"Постниковский летописец (ПСРЛ т. 34, с. 14): разбиты воеводы Иван Шереметев, князь Владимир Курбский-Карамышев, Яков и Юрий Замятнины; Владимирский летописец: «а в неделю и Оку перевезлися»",высокая,"названия брода или урочища переправы источники не дают"
