slug,name_ru,lon,lat,founded,gone,radius_km,source,note,kind,land
tyumen,Тюмень,65.534,57.153,1586-01-01,,15,"ВИКИПЕДИЯ, «Тюмень»",первый русский острог за Уралом; месяц условный,ostrog,
tobolsk,Тобольск,68.259,58.199,1587-01-01,,15,"ВИКИПЕДИЯ, «Тобольск»",месяц условный; наш акт SIB_WEST стоит на этой дате,ostrog,
surgut,Сургут,73.396,61.254,1594-01-01,,15,"ВИКИПЕДИЯ, «Сургут»",месяц условный,ostrog,
mangazeya,Мангазея,82.230,66.690,1601-01-01,1672-01-01,15,"ВИКИПЕДИЯ, «Мангазея»","заполярный город, оставлен в 1672 - острог, который империя БРОСИЛА; координаты городища приблизительные",ostrog,
tomsk,Томск,84.977,56.484,1604-01-01,,15,"АНГЛИЙСКАЯ ВИКИПЕДИЯ, «Russian conquest of Siberia»",основан как крепость ПРОТИВ джунгар и енисейских кыргызов - то есть на чужой земле,ostrog,
kuznetsk,Кузнецк (Новокузнецк),87.166,53.757,1618-01-01,,15,"ВИКИПЕДИЯ, «Новокузнецк»",месяц условный,ostrog,
yeniseysk,Енисейск,92.170,58.449,1619-01-01,,15,"ВИКИПЕДИЯ, «Енисейск»",месяц условный,ostrog,
krasnoyarsk,Красноярск,92.867,56.010,1628-01-01,,15,"ВИКИПЕДИЯ, «Красноярск»",месяц условный,ostrog,
ilimsk,Илимск,103.150,56.800,1630-01-01,1975-01-01,15,"ВИКИПЕДИЯ, «Илимск»",затоплен Усть-Илимским водохранилищем; координаты приблизительные,ostrog,
bratsk,Братский острог,101.617,56.150,1631-01-01,,15,"ВИКИПЕДИЯ, «Братск»","поставлен в бурятских землях, сожжён бурятами и ставился заново",ostrog,
yakutsk,Якутск,129.733,62.028,1632-09-25,,15,"ВИКИПЕДИЯ, «Якутск»",дата точная; через два года якуты разбили отряд Ивана Галкина и осадили острог,ostrog,
okhotsk,Охотск (Косой острожек),143.300,59.363,1647-01-01,,15,"ВИКИПЕДИЯ, «Охотск»",месяц условный,ostrog,
anadyrsk,Анадырский острог,177.500,64.730,1652-01-01,1771-01-01,15,"ВИКИПЕДИЯ, «Завоевание Чукотки»","указ 04.05.1764 о ликвидации, вывод с 1765, укрепления срыты в 1771 - империя УШЛА; координаты приблизительные",ostrog,
nerchinsk,Нерчинск,116.583,51.983,1653-01-01,,15,"ВИКИПЕДИЯ, «Нерчинск»",месяц условный,ostrog,
irkutsk,Иркутск,104.280,52.287,1661-01-01,,15,"ВИКИПЕДИЯ, «Иркутск»",месяц условный,ostrog,
selenginsk,Селенгинск,106.567,51.100,1665-01-01,,15,"ВИКИПЕДИЯ, «Селенгинск»",месяц условный; координаты приблизительные,ostrog,
abakan,Абаканский острог,91.442,53.721,1707-01-01,,15,"ВИКИПЕДИЯ, «Абаканский острог»",поставлен ПОСЛЕ угона енисейских кыргызов джунгарами в 1703; месяц условный,ostrog,
gizhiga,Гижигинская крепость,160.500,61.950,1752-01-01,,15,"ВИКИПЕДИЯ, «Гижига»",в 1753 осаждена коряками; здесь же подписан протокол 1778 года с чукчами; координаты приблизительные,krepost,
novo-mariinsk,Ново-Мариинск (Анадырь),177.508,64.735,1889-08-03,,15,"портал Чукотского АО; ВИКИПЕДИЯ, «Гриневецкий, Леонид Францевич»","ПОГРАНИЧНЫЙ пост, основан начальником Анадырской округи Гриневецким; округа учреждена указом 09.07.1888 против американской экспансии после продажи Аляски",ostrog,
turukhansk,Туруханское зимовье (Новая Мангазея),87.575,65.915,1607-01-01,,15,"ВИКИПЕДИЯ, «Старотуруханск» и «Мангазея»; goarctic.ru, «Туруханск: история и современность Новой Мангазеи»","зимовье воевод Мангазейского уезда; в 1669-1672 сюда перевели гарнизон и управление из брошенной Мангазеи, 12.06.1672 заложен город Новая Мангазея. Координаты городища Старотуруханска: современный Туруханск перенесён на 20 км южнее в конце 1920-х. Месяц условный",ostrog,
