territory,territory_ru,from,to,kind,event_from,event_to,source,confidence,note,series
transnistria,Приднестровье,1992-03-02,1992-07-20,war,"бои в Дубоссарах со 2 марта 1992 года: вооружённый конфликт на левом берегу Днестра переходит в войну; с 19.06.1992 бои за Бендеры; 30.06.1992 14-я гвардейская армия уничтожила молдавское подразделение у Кицкан, 27.06.1992 армию принимает Лебедь","соглашение 21.07.1992 останавливает войну по линии, которую держат приднестровские формирования и 14-я армия","Human Rights Watch / Helsinki, доклад: «Human Rights in Moldova: The Turbulent Dniester», февраль 1993 - бои в Дубоссарах возобновились 2 марта, потери считаются со 2 марта по 3-4 августа; «Мемориал» в приложении к тому же докладу датирует захват отдела милиции в Дубоссарах 2 марта; Европейский суд по правам человека, дело: «Илашку и другие против Молдовы и России» (№ 48787/99, Большая палата, 08.07.2004), § 61 - об уничтожении молдавского подразделения у Кицкан 30.06.1992",высокая,"Карту в эти месяцы не красим: контроль ещё не закреплён, а территория принадлежит Молдове. РАСХОЖДЕНИЯ. Единой даты начала войны в первичке нет: Европейский суд говорит о столкновениях в Дубоссарах с ноября 1990 года и о войне «в конце 1991-го», Центр по предотвращению конфликтов ОБСЕ (Вена, 10.06.1994) пишет про бои в марте без числа. За 2 марта стоят Human Rights Watch и «Мемориал», за 1 марта - только ведомственные приднестровские сайты, поэтому берём 2-е. Конец боёв за Бендеры тоже расходится: ОБСЕ - 21 июня, «Мемориал» - между 22 и 26 июня, ночные бои шли и после прекращения огня 07.07.1992. Артудар 14-й армии в ночь на 3 июля документально не подтверждён.",
transnistria,Приднестровье,1992-07-21,,occupation,"соглашение Ельцина и Снегура 21.07.1992: Объединённая контрольная комиссия с 27.07.1992, ввод так называемых миротворческих сил 29.07.1992; решает, где проходит линия, российская армия",,"Соглашение о принципах мирного урегулирования вооружённого конфликта в Приднестровском регионе Республики Молдова (Москва, 21.07.1992) - официальный текст разослан как документ ООН S/24369 от 06.08.1992 и воспроизведён в решении Европейского суда по правам человека, дело: «Илашку и другие против Молдовы и России», § 292; резолюция Генеральной Ассамблеи ООН A/RES/72/282 от 22.06.2018: «Полный и безусловный вывод иностранных вооружённых сил с территории Республики Молдова»",высокая,"Территория Молдовы, которой с 1992 года распоряжается империя: Оперативная группа российских войск стоит там до сегодняшнего дня, и Генеральная Ассамблея ООН в 2018 году потребовала её вывода (голосование 64-15-83; резолюция прямо фиксирует, что группа не входит в военный компонент Объединённой контрольной комиссии и миротворческого мандата не имеет). Поэтому красим красным - рекомендация куратора 26.08.2026. ЛЕСТНИЦА ПРИСУТСТВИЯ: указ Президента РФ от 01.04.1992 № 320 перевёл войска бывшего СССР в Молдове под юрисдикцию России; директивой Генштаба от 18.04.1995, действующей с 01.07.1995, 14-я армия переименована в Оперативную группу российских войск; соглашение о выводе от 21.10.1994 Россия не ратифицировала, и в силу оно не вступило; обязательство вывести войска к концу 2002 года - Стамбульская декларация ОБСЕ 1999 года, § 19.",
south_ossetia_pre2008,Южная Осетия,1991-01-05,1992-06-23,war,"Закон Республики Грузия от 11.12.1990 № 63-I упразднил Юго-Осетинскую автономную область; 5 января 1991 года в Цхинвали введены от трёх до четырёх тысяч человек из МВД Грузии, ушли они 26.01.1991 - начались полтора года войны",соглашение Ельцина и Шеварднадзе 24.06.1992 останавливает войну,"Закон Республики Грузия от 11.12.1990 № 63-I: «Об упразднении Юго-Осетинской автономной области» (отменён указом Президента СССР от 07.01.1991 № 1286); Human Rights Watch / Helsinki, доклад: «Bloodshed in the Caucasus: Violations of Humanitarian Law and Human Rights in the Georgia-South Ossetia Conflict», 1992; Соглашение о принципах урегулирования грузино-осетинского конфликта (Дагомыс/Сочи, 24.06.1992), подписали Ельцин и Шеварднадзе, публикация: «Свободная Грузия», № 82, 27.06.1992",высокая,"Карту не красим: контроля нет ни у Грузии, ни у империи. В докладах Human Rights Watch и «Мемориала» вошедшие названы МВД Грузии и парамилитарес; формула «МВД и Национальная гвардия» идёт от Большой российской энциклопедии и первичкой не подтверждается.",
south_ossetia_pre2008,Южная Осетия,1992-06-24,2008-08-25,peacekeepers,"Дагомысское соглашение 24.06.1992 учредило Смешанную контрольную комиссию с местопребыванием в Цхинвали; она работала уже 3-4 июля 1992 года, в зону конфликта введены Смешанные силы по поддержанию мира, российский батальон в них - главный",война августа 2008 года и признание 26.08.2008 меняют режим с так называемого миротворческого на прямую оккупацию,"Соглашение о принципах урегулирования грузино-осетинского конфликта (24.06.1992), статья 3 - о Смешанной контрольной комиссии; протокол комиссии от 03.07.1992 (Цхинвали) и её решение № 3 от 04.07.1992 (Владикавказ, подписи Китовани, Шойгу, Хетагурова); соглашение от 31.10.1994 о четырёхстороннем составе комиссии; доклад: «Independent International Fact-Finding Mission on the Conflict in Georgia. Report», три тома, 30.09.2009 (доклад Тальявини)",средняя,"Полигон - без Ахалгорского (Ленингорского) района: до 2008 года его держала Грузия, и красить его российским красным с 1992 года было бы враньём. ДАТА ВВОДА СИЛ. Ходовое 14.07.1992 первичным документом не подтверждается - его дают вторичные и юбилейные источники, а доклад Тальявини воспроизводит его в изложении югоосетинской стороны. Документально комиссия работала уже 3-4 июля, поэтому окно открываем датой соглашения, 24.06.1992. ЕЩЁ ОДНО ПРИБЛИЖЕНИЕ: до августа 2008 Тбилиси держал и грузинские сёла Лиахвского коридора - Кехви, Тамарашени, Земо и Квемо Ачабети, Курта, Эредви, Авневи, Нули, Тигва (доклад Тальявини, том II; Human Rights Watch, «Up in Flames»: семнадцать сёл). Из полигона они НЕ вычтены - рамка отрезает только Ахалгори. Спорное: считать ли шестнадцать лет так называемого миротворчества имперским контролем - решение куратора.",
south_ossetia,Южная Осетия,2008-08-07,2008-08-12,war,"7 августа 2008 года в 23:35 грузинская артиллерия открыла огонь, в 23:50 - по целям в Цхинвали; наземный штурм города утром 8 августа; по российской версии 58-я армия прошла Рокский тоннель 8 августа в 14:30",план Медведева-Саркози 12.08.2008 останавливает боевые действия,"доклад Тальявини (IIFFMCG), сентябрь 2009; указ Президента РФ от 26.08.2008 № 1261: «О признании Республики Южная Осетия», kremlin.ru/acts/bank/27958",высокая,"Строка нужна попапу и остановке ползунка: заливку она не меняет - территория и так под империей с 1992 года. Утверждение грузинской стороны о более раннем проходе российских войск через Рокский тоннель миссия Тальявини проверить не смогла и прямо это записала. Продвижение шло и после объявленного окончания: Ахалгори занят 16 августа, Переви - 20 августа.",
south_ossetia,Южная Осетия,2008-08-26,,occupation,"указ от 26.08.2008 № 1261 о признании; российские базы, охрана границы силами ФСБ",,"Указ Президента РФ от 26.08.2008 № 1261: «О признании Республики Южная Осетия», kremlin.ru/acts/bank/27958 (статья Собрания законодательства для него не подтверждена); доклад: «Independent International Fact-Finding Mission on the Conflict in Georgia. Report», три тома, 30.09.2009",высокая,С 2008 года полигон полный - вместе с Ахалгорским районом.,
akhalgori,Ахалгорский (Ленингорский) район,2008-08-16,,occupation,"16 августа 2008 года, уже после объявленного прекращения огня, российские войска заняли Ахалгорский район; боёв там не было, грузинская администрация и часть жителей ушли, 03.09.2008 указом Кокойты назначена своя",,"доклад Тальявини, том II: «occupied additional locations, including Akhalgori/Leningori (16 August)»; том I - о районе, находившемся под грузинским управлением до конфликта августа 2008 года",высокая,"До 16 августа 2008 года район на карте не под заливкой - его держала Грузия, и это сказано в докладе Тальявини прямым текстом.",
abkhazia_pre2008,Абхазия,1992-08-14,1994-05-13,war,ввод грузинских войск 14.08.1992,"абхазские силы выбили грузинские войска из Сухуми 27.09.1993, к 1 октября сопротивление грузинских сил прекратилось; войну закрывает Московское соглашение 14.05.1994","доклад Генерального секретаря ООН S/26551 от 07.10.1993, пункт 8 - о взятии Сухуми 27 сентября и прекращении сопротивления грузинских сил 1 октября; Соглашение о прекращении огня и разъединении сил (Москва, 14.05.1994) - приложение I к документу ООН S/1994/583 от 17.05.1994; Human Rights Watch, доклад: «Georgia/Abkhazia: Violations of the Laws of War and Russia's Role in the Conflict», март 1995",высокая,"С октября 1993 года Грузия контроля над Абхазией не имеет, но и империя ещё не встала там гарнизоном - карту в это окно не красим. Ходовой формулировки «выход к Ингури 30.09.1993» в первичке нет: ООН пишет, что усилия грузинских сил прекратились 1 октября, а 30 сентября - дата из абхазской статистики. Верхнее Кодорское ущелье тогда занято не было, бои там шли до весны 1994 года.",
abkhazia_pre2008,Абхазия,1994-05-14,2008-08-25,peacekeepers,"Московское соглашение о прекращении огня и разъединении сил 14.05.1994; с июня 1994 года в зоне конфликта стоят Коллективные силы СНГ по поддержанию мира, укомплектованные российскими военными; развёртывание завершено к 12.07.1994",война августа 2008 года и признание 26.08.2008,"Соглашение о прекращении огня и разъединении сил (Москва, 14.05.1994) - приложение I к документу ООН S/1994/583; заявление Совета глав государств СНГ от 15.04.1994 (документ ООН S/1994/476) и его решение от 22.08.1994 об использовании Коллективных сил; письмо Козырева, документ ООН S/1994/732; доклад Генерального секретаря ООН S/1994/818, пункт 15; резолюция Совета Безопасности ООН 937 (1994) от 21.07.1994; решение Совета глав государств СНГ от 19.01.1996 - приложение IV к документу ООН A/51/62-S/1996/74 от 31.01.1996, пункт 6",низкая,"СПОРНОЕ, вынесено куратору. Против того, чтобы красить эти четырнадцать лет красным: с 19.01.1996 действовало решение СНГ, запрещавшее торговые, финансовые и транспортные операции с абхазской стороной без согласия правительства Грузии, и Россия объявила, что оно её больше не связывает, только 06.03.2008 (доклад Генерального секретаря ООН S/2008/219 от 02.04.2008, пункт 14) - то есть двенадцать лет из четырнадцати формально держала ограничения сама. Промежуточные шаги: 09.09.1999 отменены пограничные ограничения 1994 года, 30.11.2000 жители Абхазии и Южной Осетии выведены из-под визового режима с Грузией. За: линию по Ингури держала российская армия, и без неё Абхазия не устояла бы. Полигон - без верхнего Кодорского ущелья: его до 2008 года держала Грузия.",
kodori,Верхнее Кодорское ущелье,2008-08-09,2008-08-12,war,бомбардировки с 9 августа 2008 года и наземное наступление абхазских и российских сил на верхнее Кодори - последний участок Абхазии под грузинским управлением; управление это Тбилиси установил операцией 25-27.07.2006,в ночь с 11 на 12 августа 2008 года грузинские силы ущелье оставили,"доклад Генерального секретаря ООН S/2008/631 от 03.10.2008, пункт 9 - о наземном наступлении 12 августа и установлении контроля над верхним Кодори; доклад Тальявини, том II - об уходе грузинских сил в ночь с 11 на 12 августа и занятии района 12-13 августа; доклад Генерального секретаря ООН S/2006/771 от 28.09.2006, пункты 6, 8, 15 - о грузинской операции 2006 года",высокая,"Дата установления контроля расходится на сутки: ООН пишет 12 августа, миссия Тальявини - 12-13 августа. Берём 12-е.",
