name,place,hold_from,hold_to,hold_geo,hold_note,source
makhno_1918,Запорожский район (Александровск),1919-10-06,1919-11-02,file:data/ukraine/makhno_zaporizkyi.geojson,"Александровск: гарнизон и комендатура махновцев (начальник гарнизона Дашкевич), Военно-революционный совет в городе, съезд крестьян, рабочих и повстанцев 28.10-02.11. Город взят около 6 октября: 20.10 газета пишет «уже две недели, как Александровск освобождён». Конец - окончание съезда; 7 (20) ноября городская управа уже отчитывалась белым. Волости правого берега (Хортица, Беленькое) махновцы держали и позже, до середины декабря, но отдельной геометрии для них нет","сборник «Нестор Махно. Крестьянское движение на Украине. 1918–1921. Документы и материалы» (М.: РОССПЭН, 2006), док. № 140 (с. 209-212), № 142 (с. 223), № 145-146 (съезд), № 147 (с. 235-240)"
makhno_1918,"Пологовский район (Пологи, Орехов)",1919-10-15,1919-11-19,file:data/ukraine/makhno_polohy.geojson,"Пологи и Орехов у махновцев не позднее 15.10: корреспондент проехал Александровск - Орехово - Пологи - Бердянск как освобождённую землю. Штаб армии в Орехове 31.10, штаб второй группы в Пологах 01.11 и 19.11. Само Гуляйполе на 31.10 было у деникинцев, 01.11 начат бой за него, исход документом не найден","сборник «Нестор Махно. Крестьянское движение на Украине. 1918–1921. Документы и материалы» (М.: РОССПЭН, 2006), док. № 140 (с. 212), № 156 (приказ № 34, 31.10), № 157 (01.11), № 163 (19.11, с. 259)"
makhno_1918,Бердянский район,1919-10-14,1919-10-26,file:data/ukraine/makhno_berdiansk.geojson,"Бердянск: повстанческая комендатура с 14.10 (приказ № 1 коменданта Гранделя), профсоюз металлистов и газета «Вольный Бердянск» работают до 26.10. Когда город потерян, документы не говорят - окно кончается последним документом","сборник «Нестор Махно. Крестьянское движение на Украине. 1918–1921. Документы и материалы» (М.: РОССПЭН, 2006), примеч. 129 (ЦГАВО Украины, ф. 1824, оп. 1, д. 5, л. 1), док. № 141 (с. 216-222)"
makhno_1918,Никопольский район,1919-10-20,1919-12-30,file:data/ukraine/makhno_nikopol.geojson,"Никополь назван занятым в «Пути к свободе» от 20.10; штаб войск Крымского направления с 27.11, Военно-революционный совет после ухода из Екатеринослава - 24.12; 30.12 решено отступать на линию Кичкас - Нейендорф - Чумаки","сборник «Нестор Махно. Крестьянское движение на Украине. 1918–1921. Документы и материалы» (М.: РОССПЭН, 2006), док. № 140 (с. 213), № 172 (с. 271), № 182 (с. 282-283), № 188 (с. 295)"
makhno_1918,Днепровский район (Екатеринослав),1919-11-07,1919-12-08,file:data/ukraine/makhno_dniprovskyi.geojson,"Екатеринослав занят «утром 25 октября» по старому стилю, то есть 7 ноября (белая листовка «Ужасы Екатеринослава»); махновская комендатура и штаб армии в городе (22.11, 28-29.11, 02.12); осадное положение с 08.12; в тот же день, 25 ноября по старому стилю, корпус Слащёва выбил повстанцев из города","сборник «Нестор Махно. Крестьянское движение на Украине. 1918–1921. Документы и материалы» (М.: РОССПЭН, 2006), док. № 148 (с. 241), № 164 (с. 259), № 165 (с. 260), № 171, № 173 (с. 273), № 175 (с. 276)"
poland_1830,Мазовецкое воеводство с Варшавой,1830-11-17,1831-08-27,file:data/poland/krolestwo_1816_mazowieckie.geojson,"Мазовецкое воеводство с Варшавой: Национальное правительство до входа российских войск в Варшаву 27.08 (08.09 н. ст.) 1831 года, после штурма Воли и капитуляции Круковецкого. Даты - старый стиль; начало - ночь восстания в Варшаве 17 (29) ноября 1830 года","Tokarz W. Wojna polsko-rosyjska 1830 i 1831. Warszawa, 1930 (archive.org bc.radom.pl.tokarz-wojny_polsko-rozyjskie_8768_pdf); разбор - MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b_polsha_kavkaz_turgay.md; Tokarz 1930, с. 515-516, 619"
poland_1830,Плоцкое воеводство,1830-11-17,1831-09-15,file:data/poland/krolestwo_1816_plockie.geojson,"Плоцкое воеводство: после падения Варшавы - последняя резиденция сейма и правительства; армия и правительство ушли из Плоцка 15 (27) сентября 1831 года. Набег Власова 18-19.06 н. ст. и переход армии Паскевича в начале июля - транзит, окно не режут; крепость Модлин держалась до 27.09 (09.10 н. ст.) - точка. Даты - старый стиль; начало - ночь восстания в Варшаве 17 (29) ноября 1830 года","Tokarz W. Wojna polsko-rosyjska 1830 i 1831. Warszawa, 1930 (archive.org bc.radom.pl.tokarz-wojny_polsko-rozyjskie_8768_pdf); разбор - MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b_polsha_kavkaz_turgay.md; Tokarz 1930, с. 443-444, 453-457, 613-615"
poland_1830,Калишское воеводство,1830-11-17,1831-08-09,file:data/poland/krolestwo_1816_kaliskie.geojson,Калишское воеводство: до занятия Калиша отрядом генерала Кнорринга 9 (21) августа 1831 года - дата падения столицы воеводства. Даты - старый стиль; начало - ночь восстания в Варшаве 17 (29) ноября 1830 года,"Tokarz W. Wojna polsko-rosyjska 1830 i 1831. Warszawa, 1930 (archive.org bc.radom.pl.tokarz-wojny_polsko-rozyjskie_8768_pdf); разбор - MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b_polsha_kavkaz_turgay.md; Tokarz 1930, с. 555-556"
poland_1830,Сандомирское воеводство,1830-11-17,1831-08-01,file:data/poland/krolestwo_1816_sandomierskie.geojson,"Сандомирское воеводство: переправа Ридигера 24.07 (05.08 н. ст.), занятие Коньске и Радома 1 (13) августа 1831 года. Даты - старый стиль; начало - ночь восстания в Варшаве 17 (29) ноября 1830 года","Tokarz W. Wojna polsko-rosyjska 1830 i 1831. Warszawa, 1930 (archive.org bc.radom.pl.tokarz-wojny_polsko-rozyjskie_8768_pdf); разбор - MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b_polsha_kavkaz_turgay.md; Tokarz 1930, с. 501-504"
poland_1830,Краковское воеводство,1830-11-17,1831-08-18,file:data/poland/krolestwo_1816_krakowskie.geojson,Краковское воеводство: прикрывалось отрядом генерала Ружицкого до 18 (30) августа 1831 года; уверенность средняя-низкая - точной даты падения администрации нет. Даты - старый стиль; начало - ночь восстания в Варшаве 17 (29) ноября 1830 года,"Tokarz W. Wojna polsko-rosyjska 1830 i 1831. Warszawa, 1930 (archive.org bc.radom.pl.tokarz-wojny_polsko-rozyjskie_8768_pdf); разбор - MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b_polsha_kavkaz_turgay.md; Tokarz 1930, с. 501-506, 619"
