name,name_ru,people,from,to,territory,kind,event,source,confidence,note,hold_from,hold_to,hold_note,geo,hold_geo
kolomna_1546,Коломна 1546,русские,1546,1546,Коломна,military,"выступление стрельцов, причина не установлена","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 12",низкая,,,,,city:Коломна,
moscow_1547,Москва 1547,русские,1547-06-26,1547-07-03,Москва,urban,"городское выступление после пожара против рода Глинских; повстанцы без боя заняли Кремль 26 июня, через неделю сложили оружие","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 13",средняя,"выступление против знати, но за царя: политической программы не было",,,,city:Москва,
ustyug_1549,Устюг 1549,русские,1549,1549,Устюг,urban,выступление городских низов,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 14",низкая,,,,,city:Великий Устюг,
pskov_1550,Псков 1550,русские,1550,1550,Псков,urban,выступление городских низов,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 15",низкая,,,,,city:Псков,
cheremis_1_1552,Первая черемисская война 1552-1557,"марийцы, татары, удмурты",1552,1557,"левобережье Волги, бывшее Казанское ханство",national,"война марийцев и татар против московской администрации и сбора ясака; к выступлению присоединились удмурты, повстанцы захватили Арск, построили свою крепость-столицу и осадили Казань","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 16",высокая,чуваши и мордва воевали по обе стороны; отдельные выступления - 1567 г.,,,,ne:Russia:Mariy-El|Tatarstan|Chuvash|Udmurt,
cheremis_2_1571,Вторая черемисская война 1571-1574,"марийцы, татары, башкиры",1571,1574,левобережье Волги,national,война за восстановление Казанского ханства и против крещения; с 1572 г. присоединились камские башкиры,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 17",высокая,,,,,ne:Russia:Mariy-El|Tatarstan|Chuvash|Udmurt|Bashkortostan,
cheremis_3_1581,Третья черемисская война 1581-1585,"марийцы, татары, чуваши, удмурты, башкиры",1581,1585,среднее Поволжье,national,"война всех народов среднего Поволжья против роста дани и давления московской администрации; повстанцы осадили Казань, Чебоксары и Свияжск","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 18",высокая,после поражения марийцам запретили жить в городах и на берегах больших рек и заниматься кузнечным делом; регион застроен русскими городами и крепостями,,,,ne:Russia:Mariy-El|Tatarstan|Chuvash|Udmurt|Bashkortostan|Kirov,
berezov_1595,Осада Берёзова 1595,"ханты, манси",1595,1596,"Берёзовский уезд, Нижняя Обь",national,"выступление местного населения во главе с правителем Ляпинского княжества против московской администрации, полугодовая осада Берёзовского острога","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 18, п. 19",средняя,"осада не удалась, волнения в уезде шли до лета 1596 г.",,,,ne:Russia:Khanty-Mansiy,
tara_1627,«Тарская смута» 1627-1635,сибирские татары,1627,1635,"Тарский уезд, Прииртышье",national,выступления против сбора ясака и борьба потомков Кучума за восстановление Сибирского ханства; помогали калмыки и телеуты,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 1",средняя,на стороне московских войск бились отряды вассального Кодского княжества,,,,ne:Russia:Omsk|Tyumen',
bashkir_1645,Башкирское выступление 1645,башкиры,1645,1645,Башкортостан,national,"выступление против основания Мензелинского острога, разбито войсками","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 2",средняя,,,,,ne:Russia:Bashkortostan,
salt_riot_1648,«Соляной бунт» 1648-1649,русские,1648,1650,Москва и ещё 25 городов,urban,"городское выступление против налогов и роста цены соли; в том же году поднялись Олонец, Великий Устюг, Воронеж, Курск, Томск и другие города","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 3",высокая,в большинстве случаев Москва пошла на уступки и сняла местных воевод; к 1650 г. положение выправлено силой,,,,city:Москва,
pskov_novgorod_1650,Псковско-Новгородское выступление 1650,русские,1650,1650,"Псков, Новгород, Гдов, Изборск",urban,выступления против роста цен на хлеб,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 4",средняя,,,,,ne:Russia:Pskov|Novgorod,
buryat_1658,Бурятское восстание 1658,буряты,1658,1661,Прибайкалье,national,выступление против злоупотреблений сборщиков ясака; большая часть повстанцев откочевала в Монголию,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 5",высокая,"до того буряты осаждали остроги в 1636, 1643-1644 и 1651 гг., уничтожили Братский острог 1634, Осинский 1648, Удинский 1654, Иргенский 1655; следующая волна - 1693-1696 гг.",,,,ne:Russia:Buryat|Irkutsk,
west_siberia_1661,Западносибирское восстание 1661-1665,"ненцы, ханты, сибирские татары",1661,1665,"средняя Обь, нижний Иртыш, Пустозерск, Мангазея",national,"серия выступлений против московского господства: в 1662 г. ненцы атаковали Пустозерск и Мангазею, в 1662-1663 гг. поднялось население средней Оби и нижнего Иртыша","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 6",средняя,,,,,ne:Russia:Khanty-Mansiy|Yamal-Nenets|Tyumen'|Nenets,
copper_riot_1662,«Медный бунт» 1662,русские,1662-07-25,1662-07-25,Москва,urban,"выступление против выпуска медной монеты и её обесценивания; разбито войсками, но через год выпуск медных денег прекращён","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 7",высокая,,,,,city:Москва,
bashkir_1662,Башкирское восстание 1662-1664,башкиры,1662,1664,Башкортостан,national,"полномасштабное выступление против наступления на башкирское землевладение и налоговых злоупотреблений; закончилось переговорами и фактической победой повстанцев - уфимский воевода отстранён, захват земель переселенцами прекращён, рост ясака отменён","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 8",высокая,"территорию повстанцы не удерживали как отдельное образование: победа выражена уступками, а не своей администрацией",,,,ne:Russia:Bashkortostan,
nganasan_1666,Восстание авамских нганасан 1666,нганасаны,1666,1666,Таймыр,national,самое крупное выступление этого народа против уплаты ясака,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 9",низкая,,,,,ne:Russia:Krasnoyarsk,
razin_1667,Восстание Степана Разина 1667-1671,"донские казаки, русские, народы Поволжья",1667,1671,"нижняя Волга, Яик, Прикаспий",cossack,"самое крупное антиправительственное выступление XVII в.: в 1667-1669 гг. Разин подчинил нижнюю Волгу и захватил Яицкий городок, в 1670 г. повстанцы захватили Астрахань и Царицын и двинулись на Москву; программа - отмена крепостного права и казацкое самоуправление","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 10",высокая,"Астрахань после ухода Разина полтора года жила своим казацким кругом; войска царя вернули город 27.11.1671. К повстанцам массово присоединялись крестьяне, старообрядцы и народы Поволжья; соратница Разина Алёна Арзамасская, вероятно, была эрзянкой",1670-06-24,1671-11-27,Астрахань захвачена 24.06.1670 и полтора года управлялась казацким кругом во главе с Василием Усом и Фёдором Шелудяком; царские войска Милославского вернули город 27.11.1671. Полтора года подряд империя нижней Волгой не распоряжалась - на карте это чёрное окно,ne:Russia:Astrakhan'|Volgograd|Saratov,ne:Russia:Astrakhan'
