country,country_ru,iso3,from,to,kind,event_from,event_to,source,confidence,note
North Korea,Северная Корея,PRK,1948-12-26,1961-07-05,client_military,"КНДР провозглашена 09.09.1948; советские военные советники, поставки, авиация в Корейской войне 1950–1953","договор о дружбе, сотрудничестве и взаимной помощи 06.07.1961","Текст договора 06.07.1961: worldjpn.net/documents/texts/docs/19610706.T1E.html (UNTS т. 420, № I-6045)",medium,
Laos,Лаос,LAO,1975-12-02,1991-12-26,client_military,"провозглашена Лаосская Народно-Демократическая Республика 02.12.1975; советские военные и экономические поставки, советники",распад СССР 26.12.1991,"Провозглашение ЛНДР 02.12.1975; Odd Arne Westad, The Global Cold War (2005)",medium,
Cambodia,Камбоджа,KHM,1979-01-07,1989-09-26,client_military,"вьетнамское вторжение началось 25.12.1978, Пномпень взят 07.01.1979 — поставлена Народная Республика Кампучия, союзник Ханоя и Москвы",вывод вьетнамских войск завершён в сентябре 1989,"ebsco.com, Vietnamese troops withdraw from Cambodia",medium,"Дата взятия Пномпеня — 07.01.1979 (в брифе стояло 10.01, источники дают 07.01)."
Indonesia,Индонезия,IDN,1961-01-01,1966-03-31,client_military,"генерал Насутион подписывает в Москве соглашения по программе, предложенной Хрущёвым; военная помощь 1961–1964 около 521 млн долларов — крейсер «Орджоникидзе» (передан как «Ириан»), 12 подлодок проекта 613, 14 Ту-16 и 12 Ту-16КС, 20 МиГ-21, 22 Ил-28; советская военная миссия около 400 инструкторов, крупнейшая вне соцлагеря","после уничтожения КПИ Москва в марте 1966, в день роспуска кабинета Сукарно, отзывает всех специалистов и вводит эмбарго на запчасти","Foreign Affairs, июль 1962 («the largest outside the Communist bloc, numbering about 400 instructors»); Mat Yazid 2016, с. 4",medium,"Дней у краёв окна нет — взяты первый и последний день месяца. Отдельный вопрос куратору: в кризисе вокруг Западного Ириана 19.12.1961 — 15.08.1962 советские экипажи по мемуарам Хрущёва и свидетельству адмирала Судомо вели индонезийские подлодки и Ту-16. Отдельным эпизодом типа intervention не заведено — первичка не поднята, статья в Cold War History за пейволом."
Bangladesh,Бангладеш,BGD,1972-04-16,1974-06-30,client_military,"по межправительственному соглашению 22.03.1972 в Читтагонге приступила к работе 12-я экспедиция особого назначения ВМФ СССР — 28 кораблей и судов, около 500 человек, командир контр-адмирал С. П. Зуенко; за 26 месяцев разминировано 2000 квадратных миль, поднято 26 судов, расчищено 12 причалов","работы свёрнуты, тральщики ушли 15.03.1974, экспедиция закончена в июне 1974","ЭОН-12: xn--80aphn.xn--p1ai/news/2022-10-10; russian.rt.com/russia/article/959271; The Daily Star, «800 Russian mariners took part in post-war minesweeping»",high,"Единственный случай, когда советские военные корабли работали в территориальных водах страны Южной Азии. Эпизод накладывается на окно помощи — это одна страна, но два разных сюжета."
Libya,Ливия,LBY,1974-05-01,1991-12-26,client_military,"визит премьер-министра Джаллуда в Москву в мае 1974 — два крупных соглашения о продаже вооружений; в декабре 1974 Триполи обнародовал закупку Ту-22, МиГ-23, Т-62 и ракет, в мае 1975 — второе соглашение; советники: около 1500 к 1979, 2600 к 1984, около 3500 к началу 1987; советская противолодочная авиация иногда ротировалась на ливийские аэродромы",распад СССР 26.12.1991,"CIA, CIA-RDP79B01737A002100190001-8 и RP 79-10002C (CIA-RDP80T00942A000600080002-9); Library of Congress, Libya country study, country-data.com/cgi-bin/query/r-8263.html; SIPRI",medium,"Тип military, а не treaty: договора о дружбе не было никогда — в 1984 стороны декларировали намерение, подтвердили его в 1986, и на этом всё. Постоянных береговых сооружений и авиабаз Каддафи Москве не предоставил. Дня мая 1974 нет — взят первый день месяца."
Algeria,Алжир,DZA,1963-10-01,1991-12-26,client_military,"после слабого выступления алжирской армии в пограничном столкновении с Марокко Алжир заключает основную массу закупок советской техники — к 1969 году поставлено примерно на 250 млн долларов, вооружённые силы почти полностью зависят от Москвы в запчастях, технике, обучении и боеприпасах; 1200–1500 советских военных советников и техников",распад СССР 26.12.1991,"CIA, март 1969, CIA-RDP78-03061A000400020007-0; CIA Office of National Estimates, 19.08.1969, FRUS 1969–76 т. E-5 ч. 2, док. 15; SIPRI",medium,"Атлас (поз. 35) даёт 1962–1991. Договора о дружбе не было — проверено по кумулятивным индексам UNTS томов 801–1150, есть только отраслевые соглашения. Точного дня первого оружейного соглашения нет, привязка к осени 1963 по формулировке ЦРУ. Базы в Мерс-эль-Кебире не было: ТАСС опроверг это 15.11.1968, а ЦРУ в 1969 писало, что советские корабли заходят в алжирские порты очень редко."
North Yemen,Северный Йемен (ЙАР),YEM,1979-11-01,1990-05-21,client_military,"по новому соглашению с ноября 1979 идут МиГ-21, Т-55 и артиллерия; советских военных советников около 120 осенью 1978, число растёт; Москва предложила оружия на 600 млн долларов против американских 380 млн по гораздо более дорогим ценам",объединение Йемена 22.05.1990,"CIA PA M 80-10019, 11.01.1980, FRUS 1977–80 т. XVIII док. 292; Fred Halliday, MERIP Reports, 03.02.1985; Washington Post, 10.10.1984",medium,"Внутри окна — договор о дружбе и сотрудничестве 09.10.1984 на 20 лет, но военных положений в открытом коммюнике нет, поэтому тип military, а не treaty. Окно закрыто 21.05.1990: с 22.05.1990 контур CShapes даёт уже объединённый Йемен. Дня ноября 1979 нет — взят первый день месяца."
Ethiopia,Эфиопия,ETH,1977-05-01,1978-11-19,client_military,"тайное военное соглашение при визите Менгисту в Москву в мае 1977; оружейная сделка на 100 млн долларов подписана в декабре 1976, кубинский контингент в Огадене",договор о дружбе и сотрудничестве 20.11.1978,"DTIC, Soviet Involvement in the Ogaden War (apps.dtic.mil/sti/tr/pdf/ADA082219.pdf)",medium,"Точный день майского соглашения 1977 года не найден, окно открывается первым днём месяца."
Angola,Ангола,AGO,1975-11-11,1976-10-07,client_military,"независимость 11.11.1975; операция «Карлота» — кубинские войска с 05.11.1975 при советском обеспечении, против вторжения ЮАР",договор о дружбе и сотрудничестве 08.10.1976,"Operación Carlota (misiones.cubaminrex.cu); Odd Arne Westad, The Global Cold War (2005), гл. 6",high,
