country,country_ru,iso3,from,to,kind,event_from,event_to,source,confidence,note
Mongolia,Монголия,MNG,1924-11-26,1966-01-14,client_military,"провозглашена Монгольская Народная Республика 26.11.1924; протокол о взаимопомощи 12.03.1936, советские войска на территории","договор о дружбе, сотрудничестве и взаимной помощи 15.01.1966","Протокол 12.03.1936; договор 1966 — International Legal Materials, март 1966 (cambridge.org/core, S0020782900047070a)",medium,"Советские войска в Монголии с 1921 года, выведены в марте 1925, возвращены в 1932 и 1937."
Austria (Soviet zone),"Австрия, советская зона",AUT-SU,1946-01-01,1955-10-25,occupation,"советская зона оккупации: Нижняя Австрия, Бургенланд и Вена","Государственный договор 15.05.1955 (в силе с 27.07.1955), войска выведены к концу октября; закон о нейтралитете 26.10.1955",Austrian State Treaty 15.05.1955: 2001-2009.state.gov/r/pa/ho/time/lw/107185.htm,high,"Контур — Natural Earth admin-1: Нижняя Австрия, Бургенланд, Вена. Мюльфиртель (север Верхней Австрии за Дунаем) в советскую зону входил, но машиночитаемой линии по Дунаю у нас нет, и в контур он не вошёл. Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Bulgaria,Болгария,BGR,1946-01-01,1947-12-15,occupation,"переворот 09.09.1944, перемирие 28.10.1944, Союзная контрольная комиссия, советские войска на территории",вывод войск по мирному договору 10.02.1947 — не позднее 15.12.1947,Парижские мирные договоры 1947; swiatsybiru.pl/en/the-red-army-in-bulgaria/,medium,"Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Hungary,Венгрия,HUN,1946-01-01,1947-02-09,occupation,Союзная контрольная комиссия во главе с Ворошиловым по перемирию 20.01.1945,Парижский мирный договор 10.02.1947,"Парижские мирные договоры 1947: en.wikipedia.org/wiki/Paris_Peace_Treaties,_1947",high,"Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Germany (Soviet zone),"Германия, советская зона",DDR,1946-01-01,1949-10-06,occupation,Советская военная администрация в Германии (СВАГ); группа советских оккупационных войск создана 09.06.1945,провозглашена ГДР 07.10.1949,"Group of Soviet Forces in Germany, en.wikipedia.org/wiki/Group_of_Soviet_Forces_in_Germany; Потсдамское соглашение 02.08.1945",medium,"Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Manchuria,Маньчжурия,MCH,1946-01-01,1946-05-03,occupation,"советские войска в Маньчжурии с 09.08.1945, вывоз промышленного оборудования",вывод завершён 03.05.1946,"Soviet occupation of Manchuria, en.wikipedia.org/wiki/Soviet_occupation_of_Manchuria",medium,"Отдельным государством Маньчжурию не знает ни CShapes, ни ISO — контур взят из historical-basemaps, срез 1945. Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Poland,Польша,POL,1946-01-01,1947-01-18,occupation,"советская военная администрация и органы НКВД, Северная группа войск на территории",сфальсифицированные выборы 19.01.1947 — монополия ППР,"Northern Group of Forces, en.wikipedia.org/wiki/Northern_Group_of_Forces; Ялтинские и Потсдамские решения",medium,"Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Romania,Румыния,ROU,1946-01-01,1947-02-09,occupation,Союзная контрольная комиссия по перемирию 12.09.1944,Парижский мирный договор 10.02.1947,"ENRS, enrs.eu/news/romania-signs-the-armistice-with-the-allies; Парижские договоры 1947",high,"Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
North Korea,Северная Корея,PRK,1946-01-01,1948-12-25,occupation,советская гражданская администрация севернее 38-й параллели с августа 1945,"СССР объявил о завершении вывода войск 25.12.1948, около 3 тысяч советников остались","FRUS 1949, vol. VII, part 2, doc. 266 (history.state.gov/historicaldocuments/frus1949v07p2/d266)",medium,"Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Albania,Албания,ALB,1946-01-11,1961-12-03,bloc,"провозглашена Народная Республика Албания 11.01.1946; СЭВ с февраля 1949, ОВД с 14.05.1955; советская база подводных лодок во Влёре (Паша-Лиман)",разрыв дипломатических отношений 03.12.1961 — Тирана осталась со Сталиным против Хрущёва,"Варшавский договор: UNTS т. 219, № I-2962; разрыв — gw2ru.com/history/61622-albania-remained-true-to-stalin; база — en.wikipedia.org/wiki/Vlora_incident",medium,"Восемь советских подлодок выведены из Влёры 26.05.1961, четыре Албания удержала силой. Из ОВД формально вышла 13.09.1968 в ответ на вторжение в Чехословакию, но участия не принимала с 1961 года."
