country,country_ru,iso3,from,to,kind,event_from,event_to,source,confidence,note
Czechoslovakia,Чехословакия,CSK,1946-01-01,1948-02-24,client_aid,"советские войска выведены к 01.12.1945, но страна в орбите Москвы: КПЧ — крупнейшая партия на выборах 26.05.1946, отказ от плана Маршалла под давлением Москвы в июле 1947",февральский переворот 25.02.1948,"FRUS 1945, vol. IV, doc. 504 (history.state.gov/historicaldocuments/frus1945v04/d504) — договорённость о выводе войск к 01.12.1945",medium,"Единственное окно, где присутствия войск НЕТ, а зависимость есть. Занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой, поэтому окно сферы открывается 01.01.1946."
Yugoslavia,Югославия,YUG,1946-01-01,1948-06-28,client_treaty,"договор о дружбе, взаимной помощи и послевоенном сотрудничестве 11.04.1945 с военными обязательствами; соглашение об условиях работы советских специалистов в Югославии 13.11.1945, поставки нефтепродуктов 30.11.1945 и зерна 26.04.1946","резолюция Коминформа 28.06.1948 — КПЮ исключена, штаб-квартира перенесена из Белграда в Бухарест","UNTS т. 116: № I-1573 (с. 13), I-1574 (с. 153), I-1575 (с. 161); договор 11.04.1945 — ru.wikisource.org",medium,"Атлас (розд. 49, поз. 23) держит Югославию союзником 1945–1948. Договор 11.04.1945 в UNTS не зарегистрирован — как и все советские договоры о дружбе 1940-х и 1970-х, это норма советской практики, а не признак отсутствия документа. Окно открывается 01.01.1946: занятую Европу до 31.12.1945 включительно ведёт слой Второй мировой. В ОВД Югославия не входила никогда."
Mongolia,Монголия,MNG,1966-01-15,1992-12-31,client_treaty,"договор о дружбе, сотрудничестве и взаимной помощи 15.01.1966, разрешение на размещение войск; член СЭВ с 1962","вывод советских войск завершён в конце 1992, передано 52 военных городка","International Legal Materials, март 1966; вывод — Journal of Slavic Military Studies (tandfonline, doi 10.1080/13518046.2012.676484)",medium,
China,Китай,CHN,1950-04-11,1960-08-31,client_treaty,"договор о дружбе, союзе и взаимной помощи 14.02.1950, статья 1 — при нападении немедленная военная помощь всеми имеющимися средствами; в силе с 11.04.1950","отзыв 1390 советских специалистов в июле—августе 1960, разрыв 343 контрактов и 257 проектов","UNTS т. 226, № I-3103, с. 3 (treaties.un.org/doc/Publication/UNTS/Volume%20226/v226.pdf); отзыв специалистов — ЦК КПК, «The Leaders of the CPSU Are the Greatest Splitters of Our Times», февраль 1964",high,"Атлас (поз. 24) держит Китай союзником 1949–1961, дальше врагом. Окно закрыто по факту разрыва, а не по бумаге: формально договор действовал до 11.04.1980 — Постоянный комитет ВСНП решил не продлевать 03.04.1979, Хуан Хуа уведомил посла Щербакова в тот же день (Peking Review, 1979, № 14). Прежнее противоречие в disputed.csv (16.02.1979) снято: эта дата противоречит статье 6 договора. Аренда Порт-Артура и Дальнего 1945–1955 в слой не заведена — машиночитаемой геометрии Ляодуна у нас нет, а контур CShapes закрасил бы весь Китай."
North Korea,Северная Корея,PRK,1961-07-06,1991-12-26,client_treaty,"договор 06.07.1961, статья 1 — немедленная военная и иная помощь всеми имеющимися средствами при вооружённом нападении","распад СССР 26.12.1991; Россия договор не продлила, он прекратил действие в 1996 году",Текст договора: worldjpn.net/documents/texts/docs/19610706.T1E.html,high,"Номер UNTS (т. 420, № I-6045) взят из публикации текста, скан ООН не открывался — сверить."
Vietnam,Вьетнам,VNM,1978-11-03,1991-12-26,client_treaty,"договор о дружбе и сотрудничестве 03.11.1978, статья 6 — немедленные консультации и эффективные меры при нападении; СРВ в СЭВ с июля 1978",распад СССР 26.12.1991,Текст договора 03.11.1978: worldjpn.net/documents/texts/docs/19781103.T1E.html,high,
Indonesia,Индонезия,IDN,1956-09-01,1960-12-31,client_aid,"первый визит Сукарно в Москву в сентябре 1956, кредитная линия 100 млн долларов (ратифицирована парламентом Индонезии в феврале 1958); визит Хрущёва в Джакарту в феврале 1960",переход от кредитов к прямым военным контрактам,"Foreign Affairs, «The Soviet Challenge in Indonesia», июль 1962; Mohd Noor Mat Yazid, Review of European Studies, 2016, 8(3), doi:10.5539/res.v8n3p253",medium,Точного дня сентября 1956 нет — взят первый день месяца. Атлас (поз. 31) даёт 1959–1965; советские деньги пошли на три года раньше.
Bangladesh,Бангладеш,BGD,1972-01-25,1975-08-15,client_aid,"дипотношения 25.01.1972; соглашение об экономическом и техническом сотрудничестве 02.03.1972 — ТЭС в Горашале, электротехнический завод в Читтагонге, разведка нефти и газа; в 1973 переданы 10 МиГ-21МФ и 2 МиГ-21УМ, позже Ан-26 и 11 Ми-8","переворот 15.08.1975, убийство Муджибура Рахмана","МИД РФ через interaffairs.ru/news/show/33398; Bangladesh–Russia relations (посольство РФ в Дакке, Scramble)",medium,"Договора о дружбе и сотрудничестве СССР — Бангладеш НЕ БЫЛО: в декабре 1971 Москва отклонила индийское предложение его подписать (Choudhury M. Shamim, «The Bangladesh-India Friendship Treaty»). Договор 19.03.1972 — индийско-бангладешский, не советский. Точные дни передачи МиГ-21 не подтверждены документом."
Afghanistan,Афганистан,AFG,1978-12-05,1979-12-24,client_treaty,"Саурская революция 27.04.1978; договор о дружбе, добрососедстве и сотрудничестве 05.12.1978, статья 4 — военная помощь по просьбе стороны",ввод советских войск 25.12.1979,"Полный текст договора 05.12.1978: cawater-info.net/afghanistan/pdf/ (Treaty of Friendship, Good-Neighbourliness and Cooperation)",high,"На статью 4 этого договора Политбюро прямо сослалось 12.12.1979, принимая решение о вводе войск."
Afghanistan,Афганистан,AFG,1989-02-16,1992-04-16,client_aid,"войска выведены, режим Наджибуллы держится на советских поставках и деньгах",падение Наджибуллы 16.04.1992,"Odd Arne Westad, The Global Cold War (2005), гл. 8",medium,
